name,title,activity_period,notable_deeds
张钫,伪河南省政府委员、伪豫西行政督察专员,1944-1945,1944年豫西沦陷后投靠日军，参与组织伪河南省政权，在洛阳、伊川一带协助日军推行保甲、征粮和维持会体系。
赵子立,伪洛阳县维持会会长,1944-1945,洛阳沦陷后出面组织维持会，为日军筹粮、派夫、维持城区秩序，并协助伪政权向伊川等周边地区扩展控制。
郭芳五,伪洛阳县知事,1944-1945,日军占领洛阳后出任伪县知事，主持伪县政，配合日军清乡、征粮，并在伊川、偃师交界地区推行伪化统治。
王维藩,伪豫西剿共军司令,1944-1945,收编地方武装组成伪军，在洛阳、伊川、宜阳一带配合日军扫荡抗日根据地，袭击八路军和地方抗日武装。
李振亚,伪伊川县维持会会长,1944-1945,伊川沦陷后组织维持会，为日军征集粮食、民夫，协助建立伪区乡政权，并参与镇压当地抗日活动。
张子厚,伪伊川县保安团团长,1944-1945,率地方武装投敌，编为伪保安团，在伊川及洛阳南部配合日军进行清乡、搜捕抗日人员。
刘茂恩,伪豫西自治军总指挥,1944-1945,豫西沦陷后投靠日军，拼凑伪自治军，活动于洛阳、伊川、嵩县一带，协助日军维持占领区秩序并对抗抗日武装。
陈子明,伪洛阳县警察局局长,1944-1945,出任伪警察局长，利用伪警力量侦捕抗日人员，配合日军在洛阳及伊川周边实施治安强化。
马凌云,伪河南省宣传处职员、伪洛阳教育会负责人,1944-1945,在洛阳教育文化界附逆，主持伪教育会，推行奴化教育，为日军占领宣传服务。
杨子才,伪洛阳商会会长,1944-1945,控制洛阳商会，为日军筹措物资、摊派款项，协助日伪经济统制，并影响伊川等地商贩。
