name,title,activity_period,notable_deeds
于琛澂,伪满洲国第四军管区司令官,1932-1945,原东北军将领，投日后任伪满军事要职，曾率伪军参与“讨伐”抗日武装，活动范围涉及松花江下游及伊春周边地区。
赵天佐,伪伊春县警务科科长,1937-1945,在伊春地区推行日伪“治安肃正”政策，抓捕抗日地下工作者，协助日军建立“集团部落”，迫害当地抗联家属。
刘德才,伪汤原县（含今伊春部分地区）保安队队长,1936-1945,率伪保安队多次袭击抗联小分队，破坏密营，并参与对抗日群众的“讨伐”行动，造成抗联人员伤亡。
张景惠,伪满洲国国务总理大臣（管辖黑龙江全省含伊春）,1935-1945,作为伪满最高行政首脑，签署多项镇压东北抗联的法令，其管辖体系覆盖伊春林区，支持日军对抗日武装的围剿。
韩云阶,伪黑龙江省省长（辖区含伊春）,1932-1935,投日后任伪黑龙江省长，积极推行日伪殖民政策，组织地方伪政权配合日军“清剿”抗联，在伊春周边设立伪警察机构。
王静轩,伪伊春地区森林警察大队大队长,1938-1945,负责伊春林区“治安”，率森林警察搜捕抗联后方医院和密营，烧毁粮食储备，切断抗联补给线。
李万春,伪铁力县（今伊春代管）协和会会长,1939-1945,组织协和会宣传“日满亲善”，诱降抗联动摇分子，并收集抗联情报提供给日军，导致多处抗联联络点被破坏。
孙鸣山,伪伊春街（今伊春区）自卫团团长,1940-1945,组织地方自卫团配合日军巡逻，盘查过往行人，多次截获抗联物资，并参与对抗日嫌疑人的酷刑审讯。
周文彬,伪南岔（今伊春南岔区）警察署署长,1937-1945,在汤旺河流域抓捕抗联交通员，破坏地下交通线，并参与“归屯并户”行动，强迫山区居民迁入集中村。
吴奎一,伪金山屯（今伊春金山屯区）山林队队长,1941-1945,率山林队为日军带路搜索抗联营地，在冬季破坏抗联雪地足迹，导致抗联第三军部分战士冻饿牺牲。
