name,title,activity_period,notable_deeds
王光夏,宿迁县伪县长,1939-1945,抗战期间投靠日伪，出任宿迁县伪县长，协助日军维持地方伪政权，征粮派款，镇压抗日群众。
张海帆,伪宿迁县警察局局长,1940-1945,充任伪警察局长，配合日军搜捕抗日人员，破坏抗日地下组织。
李亚东,伪宿迁县保安团团长,1941-1945,组织伪保安团，协同日军扫荡宿迁周边抗日根据地，残害百姓。
陈毅斋,伪宿迁县维持会会长,1938-1940,日军侵占宿迁后出面组织维持会，为日军筹粮筹款，维持殖民统治秩序。
刘子云,伪宿迁县新民会指导官,1940-1943,利用新民会进行奴化宣传，拉拢地方士绅投敌，配合日军推行治安强化运动。
吴筱山,伪宿迁县商会会长,1939-1945,控制伪商会，为日军征购物资，压榨商户，协助日伪经济掠夺。
周化南,伪宿迁县教育局局长,1941-1945,推行奴化教育，篡改教材，向学生灌输亲日思想。
孙仲文,伪宿迁县保安大队大队长,1942-1945,率伪军配合日军扫荡宿北抗日根据地，抓捕抗日军民。
赵雪门,伪宿迁县财政局局长,1940-1945,为日伪政权筹措经费，加重地方捐税，支持日军侵略战争。
马伯良,伪宿迁县建设局局长,1941-1945,协助日军修筑据点、公路和封锁沟，用于围困抗日根据地。
朱亚民,伪宿迁县警察局督察长,1942-1945,督导伪警察配合日军清查户口、搜捕抗日人员。
徐耀庭,伪宿迁县自卫团团长,1940-1944,组织地方伪自卫团，为日军站岗放哨、传递情报，镇压抗日活动。
王仲廉,伪宿迁县宣传科科长,1941-1945,负责日伪宣传，散布“大东亚共荣”谬论，诋毁抗日力量。
张耀庭,伪宿迁县合作社理事长,1942-1945,利用伪合作社控制物资流通，为日军掠夺粮食和棉花。
刘伯钧,伪宿迁县法院院长,1940-1945,以伪法律审判抗日群众，为日伪镇压行动提供“合法”外衣。
