name,title,activity_period,notable_deeds
陈群,汪伪政府内政部长、江苏省长,1938-1945,曾任伪维新政府内政部长，后任汪伪江苏省长，在镇江地区推行伪化统治，协助日军清乡扫荡。
任援道,汪伪第一方面军总司令、伪江苏省保安司令,1938-1945,原国民党军官，投敌后任伪军要职，在镇江、苏南一带配合日军进攻抗日武装，残害百姓。
李士群,汪伪特工总部（76号）负责人、伪江苏省长,1939-1943,主持76号特工，在镇江等地大肆捕杀抗日志士，后任伪江苏省长，推行保甲制度，强化日伪统治。
高冠吾,伪镇江地区行政督察专员、伪江苏省民政厅长,1938-1945,在镇江任伪职期间，组织伪政权，征收苛捐杂税，协助日军建立维持会，镇压抗日活动。
张北生,伪镇江县长,1940-1943,任伪镇江县长期间，推行伪化教育，强征壮丁，配合日军“清乡”，迫害抗日家属。
沈同午,伪镇江商会会长、伪维持会成员,1937-1940,日军占领镇江后率先投敌，组织维持会，为日军筹粮筹款，强迫商民悬挂伪旗。
王伯恭,伪镇江警察局长,1939-1945,指挥伪警察协助日军搜捕抗日分子，破坏地下交通线，参与镇压镇江地区群众反抗。
赵如珩,伪江苏省教育厅长（驻镇江）,1940-1945,在镇江推行奴化教育，改编学校教材，强迫学生参加日伪庆典，宣扬“中日亲善”。
刘郁文,伪镇江地方法院院长,1941-1945,利用司法权力迫害抗日群众，判处抗日志士重刑，为日伪统治提供法律镇压工具。
周佛海,汪伪行政院副院长兼财政部长（曾管辖江苏）,1940-1945,虽非长期驻镇江，但作为汪伪核心人物，其政策直接支配镇江伪政权，支持清乡和物资统制。
