name,title,activity_period,notable_deeds
汪精卫,伪国民政府主席,1940-1944,虽为广东人，但作为伪国民政府首脑，其政权控制江苏全省，包括南通、海安地区，推行清乡运动，配合日军镇压抗日力量。
陈群,伪江苏省省长,1938-1943,任伪江苏省长期间，管辖南通、海安等地，组织伪军和警察，协助日军扫荡，征收苛捐杂税，迫害抗日民众。
李士群,伪江苏省省长、特工总部主任,1941-1943,在江苏（含南通、海安）推行“清乡”运动，设立特务机构，捕杀抗日志士，残害百姓。
任援道,伪江苏省省长、伪军第一方面军总司令,1943-1945,任伪省长期间，控制南通、海安地区伪军，配合日军“扫荡”，强征民夫和粮食。
张北生,伪南通县知事（县长）,1938-1941,在南通地区（含海安部分区域）为日军效劳，组织伪政权，镇压抗日活动，强征物资。
薛逢元,伪南通县知事,1941-1943,继任伪南通县长，协助日军清乡，逮捕抗日人士，推行保甲制度。
顾锡九,伪海安维持会会长,1938-1940,日军占领海安后，出任维持会长，为日军提供粮食、情报，组织汉奸武装。
缪海岳,伪海安区长,1940-1943,在海安地区为日军征收赋税，抓捕壮丁，破坏抗日根据地。
王伯恭,伪南通保安司令,1939-1942,指挥伪军在南通、海安一带“扫荡”，杀害抗日军民，烧毁村庄。
陈才福,伪南通县警察局长,1940-1944,率伪警察协助日军搜捕地下党员，严刑拷打抗日群众。
季刚,伪海安保安大队长,1941-1945,带领伪军多次袭击新四军游击队，杀害地方干部。
沈维岳,伪南通清乡督察专员,1942-1944,负责南通、海安清乡事务，设立封锁线，残害抗日家属。
张德钦,伪海安税务局长,1939-1943,为日军强征各种捐税，盘剥百姓，导致民不聊生。
黄志远,伪南通特工站站长,1941-1945,领导特工在南通、海安地区刺探情报，绑架暗杀抗日人士。
徐宝田,伪海安维持会副会长,1938-1940,协助维持会长为日军征粮派款，欺压乡民。
陆兆鹏,伪南通县教育科长,1940-1944,推行奴化教育，强迫学校使用日伪教材，宣扬“中日亲善”。
周文彬,伪海安商会会长,1939-1945,组织商会为日军提供物资，强迫商户捐款，资助伪军。
吴铁生,伪南通县保安副司令,1942-1945,参与指挥伪军围剿新四军，在如皋、海安交界处制造多起惨案。
丁国桢,伪海安区长（继任）,1943-1945,继续为日军效劳，强拉民夫修筑碉堡，破坏抗日设施。
陈志远,伪南通县清乡大队长,1943-1945,率清乡大队在通海地区烧杀抢掠，杀害抗日群众数十人。
