name,title,activity_period,notable_deeds
陈群,伪福建省政府主席、伪南京国民政府内政部部长,1938-1945,福建福州人，早年投靠日伪，1938年后历任伪中华民国维新政府内政部部长、伪南京国民政府内政部部长等职，参与日伪政权对福建及东南沿海的统治与渗透。
林赤民,伪福建省政府委员、伪福州市政筹备处处长,1940-1945,在福州沦陷期间依附日军，参与伪福州市政筹备与伪政权维持活动，协助日军推行保甲与物资统制。
陈裔,伪福州维持会会长,1941-1944,福州第一次沦陷期间出面组织伪维持会，为日军筹粮、派夫、维持治安，协助日军控制福州城区。
萨福畴,伪福州维持会副会长、伪福州商会负责人,1941-1944,福州沦陷时期参与伪维持会，利用商会关系为日军征派物资、摊派款项，协助日伪经济统制。
林文忠,伪福清县维持会会长,1941-1944,福清沦陷期间组织伪维持会，为日军征粮、拉夫、搜集情报，协助日军镇压当地抗日活动。
陈则敏,伪福清县县长,1941-1944,在日军扶植下出任伪福清县县长，推行伪政令、征派捐税、配合日军扫荡福清沿海抗日力量。
翁其法,伪闽侯县维持会会长,1941-1944,闽侯沦陷期间组织伪维持会，协助日军控制闽侯及福州周边地区，征派民夫与物资。
林少奇,伪长乐县维持会会长,1941-1944,长乐沦陷期间出面组织伪维持会，为日军筹粮、带路、劝降，协助日伪维持地方统治。
陈维周,伪连江县维持会会长,1941-1944,连江沦陷期间组织伪维持会，配合日军征粮、派款、修筑工事，协助日伪控制连江沿海。
林荫,伪福建省政府警务处处长,1940-1945,在伪福建省政府中掌管警务，协助日军编练伪警察、镇压抗日分子、推行保甲连坐。
张逸舟,伪福建和平救国军总司令,1939-1945,福建沿海伪军头目，率部配合日军在福州、福清、平潭一带进行扫荡、封锁与掠夺。
黄玉树,伪福建和平救国军副总司令,1939-1945,与张逸舟共同统领福建沿海伪军，协助日军控制闽江口及福清、长乐沿海地区。
王福民,伪福州警察局局长,1941-1944,福州沦陷期间出任伪警察局局长，协助日军搜捕抗日人员、管制交通与物资。
李国杰,伪福州教育会会长,1941-1944,在福州沦陷期间依附日伪，推行奴化教育，协助日军控制学校与宣传机构。
陈天恩,伪福州商会会长,1941-1944,福州沦陷期间主持伪商会，为日军摊派款项、征调物资，协助日伪经济掠夺。
林熊祥,伪福建省政府委员、伪福州地方维持会顾问,1940-1945,福建地方士绅附逆，参与伪政权咨询与维持会活动，协助日军推行地方控制政策。
陈培锟,伪福建省政府委员,1940-1945,在伪福建省政府中任职，参与日伪政权的行政与宣传事务，协助日军统治福建沦陷区。
林知渊,伪福建省政府参议,1940-1945,依附日伪，在伪福建省政府中担任参议，为日军提供地方情报与政策建议。
陈宏泰,伪福清县警察局局长,1941-1944,福清沦陷期间出任伪警察局局长，协助日军搜捕抗日人员、维持伪治安。
林启康,伪福清县维持会副会长,1941-1944,参与福清伪维持会，协助日军征粮、派夫、搜集情报，配合日伪统治。
