name,title,activity_period,notable_deeds
王英,伪蒙古军第1军军长、伪绥西自治联军总司令,1936-1945,原为土匪出身，后投靠日军，在五原、临河一带组织伪军，配合日军进攻绥西，多次参与对五原地区的扫荡和破坏，是当地主要的汉奸武装头目。
李守信,伪蒙古军副总司令、伪蒙古联盟自治政府副主席,1933-1945,热河人，投日后成为伪蒙疆政权核心人物，其势力范围曾延伸至绥西五原地区，协助日军控制该区域，并组织伪军对抗抗日武装。
德穆楚克栋鲁普（德王）,伪蒙古联盟自治政府主席、伪蒙疆联合自治政府主席,1936-1945,蒙古族王公，投靠日本后建立伪蒙政权，其行政管辖名义上包括五原地区，支持日军在绥西的军事行动，并推行奴化教育。
吴鹤龄,伪蒙古军第9师师长,1938-1945,在五原、安北一带驻防，协助日军清剿抗日游击队，曾参与1939-1940年日军对五原的进攻，并纵容部下掠夺百姓。
宝贵廷,伪蒙古军第5师师长,1939-1945,率部在绥西地区活动，多次配合日军扫荡五原周边村庄，杀害抗日军民，并强征民夫修筑工事。
陈秉义,伪绥西自治联军副司令,1940-1945,王英的副手，长期盘踞五原地区，为日军搜集情报，并参与对抗日根据地的封锁和破坏。
张万庆,伪五原县县长,1940-1945,日军占领五原期间任伪县长，推行保甲制度，强征粮食和劳役，协助日军维持殖民统治，并迫害抗日家属。
赵承绶,伪绥西自治联军参谋长,1941-1945,参与策划伪军对五原地区的多次突袭，并负责训练伪军，配合日军“治安强化”运动。
刘子英,伪五原县警察局长,1940-1945,为日军效忠，搜捕抗日地下人员，破坏地下交通线，并参与镇压当地民众的反抗。
王有功,伪安北县（今属五原）维持会会长,1939-1945,日军占领安北后组织维持会，为日军筹粮派款，并引导日军袭击抗日武装驻地。
