name,title,activity_period,notable_deeds
陈则民,伪吴县知事,1937-1940,1937年苏州沦陷后出任伪吴县知事，协助日军维持占领区秩序，征收捐税，镇压抗日活动。
潘振霄,伪吴江县知事,1938-1941,1938年任伪吴江县知事，推行保甲制度，为日军提供粮食和劳役，参与清乡行动。
沈同衡,伪吴江县警察局长,1939-1943,任伪警察局长期间，协助日军搜捕抗日分子，破坏地下组织，多次带队围剿游击队。
张一鹏,伪苏州维持会会长,1937-1938,苏州沦陷初期组织维持会，为日军提供物资，协助建立伪政权，后任伪省政府顾问。
李士群,伪江苏省政府主席（兼苏州地区特工头目）,1941-1943,原军统叛徒，后任汪伪特工总部主任，在苏州、吴江等地设立据点，残酷镇压抗日志士，制造多起血案。
汪曼云,伪江苏省政府委员兼苏州区清乡督察专员,1941-1944,负责苏州、吴江等地的清乡运动，组织伪军和警察扫荡抗日根据地，强征民夫，烧毁村庄。
唐惠民,伪吴江县清乡主任,1942-1945,在吴江推行清乡政策，设立封锁线，搜捕共产党员和抗日群众，致使数百人被捕遇害。
朱朴,伪苏州绥靖公署参议,1940-1945,参与伪政权决策，为日军提供情报，协助策划对吴江地区的扫荡行动。
吴菊生,伪吴江县商会会长,1938-1945,为日军征购粮食和物资，强迫商户缴纳“和平捐”，从中牟利，资助伪军。
周佛海,伪行政院副院长（兼管江苏政务）,1940-1945,虽常驻南京，但直接掌控苏州、吴江地区伪政权的人事和财政，支持清乡和特工活动。
