name,title,activity_period,notable_deeds
傅筱庵,伪上海特别市市长,1938-1940,曾任伪上海市长，在徐汇区有官邸活动，协助日军推行殖民统治，后遭军统刺杀身亡。
陈群,伪江苏省省长、伪内政部长,1938-1945,早年活动于上海，后投靠汪伪政权，在徐汇地区参与清乡和特务活动，迫害抗日志士。
卢英,伪上海市警察局局长,1938-1945,在徐汇区设立警察机构，配合日军搜捕抗日分子，镇压民众反抗。
潘达,伪上海特别市社会局局长,1940-1945,在徐汇地区推行奴化教育，控制社会团体，为汪伪政权服务。
吴颂皋,伪上海特别市政府秘书长,1940-1945,参与伪政府行政事务，在徐汇区协助日伪征收捐税，压迫市民。
李士群,汪伪特工总部（76号）主任,1939-1943,其特工组织在徐汇区设有据点，绑架、暗杀抗日人士，制造白色恐怖。
丁默邨,汪伪特工总部副主任、伪社会部长,1939-1945,在徐汇地区指挥特务活动，破坏地下抗日组织，罪行累累。
罗君强,伪上海特别市副市长,1940-1945,在徐汇区协助傅筱庵管理市政，推行日伪政策，参与经济掠夺。
苏成德,伪上海特别市警察局副局长,1941-1945,在徐汇区指挥警察镇压罢工和抗日活动，抓捕进步人士。
胡兰成,汪伪宣传部政务次长,1940-1945,曾在徐汇区居住，从事文化宣传，为汪伪政权鼓吹“和平运动”。
周佛海,汪伪行政院副院长、财政部长,1939-1945,虽主要活动于南京，但在上海徐汇区拥有房产，参与日伪金融统制，间接影响该区。
梅思平,汪伪中央执行委员、实业部长,1940-1945,在徐汇区参与经济统制，协助日军掠夺物资，支持伪政权运作。
林柏生,汪伪宣传部部长,1940-1945,在徐汇区推动奴化宣传，控制报刊广播，为日伪张目。
陈公博,伪上海市长（1940年代后期）,1944-1945,在徐汇区推行“清乡”和保甲制度，强化日伪统治，镇压抗日力量。
褚民谊,汪伪外交部长、广东省长,1940-1945,曾在徐汇区活动，参与汪伪政权对外交涉，协助日本侵略政策。
任援道,伪第一方面军总司令,1940-1945,其部队在徐汇区驻扎，协助日军维持治安，镇压抗日游击队。
叶蓬,伪陆军部长,1940-1945,在徐汇区参与军事训练和治安维持，为日军提供军事支持。
唐惠民,伪上海特别市地政局局长,1941-1945,在徐汇区强征土地，为日军和伪军建设设施，侵害居民利益。
张显之,伪上海特别市卫生局局长,1942-1945,在徐汇区推行日伪卫生政策，控制医疗资源，为日军服务。
黄香谷,伪上海特别市教育局长,1940-1945,在徐汇区学校推行奴化教育，篡改历史，灌输亲日思想。
