name,title,activity_period,notable_deeds
林赤民,伪霞浦县维持会会长、伪霞浦县县长,1939年—1945年,霞浦沦陷期间出面组织伪维持会，后任伪县长，为日军征派粮食、民夫，协助推行伪化统治。
陈祖宽,伪霞浦县警察局局长,1940年—1945年,在霞浦地区充任伪警察头目，配合日军和伪政权搜捕抗日人员、镇压民众反抗。
王世昌,伪宁德县维持会会长,1939年—1941年,宁德沦陷后组织伪维持会，为日军筹粮筹款、拉夫，维持地方伪秩序。
黄寿彭,伪宁德县县长,1941年—1945年,任伪宁德县县长期间推行保甲连坐，协助日军清乡，迫害抗日群众。
李启元,伪福安县维持会副会长,1939年—1943年,在福安地区协助日军建立伪组织，征调物资，诱降地方武装。
张逸舟,伪福建和平救国军总司令,1938年—1945年,率部投敌，所部活动于闽东沿海包括宁德、霞浦一带，配合日军封锁海岸、劫掠抗日根据地。
林义和,伪福建和平救国军副总司令,1939年—1945年,与张逸舟一同投敌，在闽东沿海岛屿及霞浦、宁德沿海活动，为日军搜集情报、袭击抗日游击队。
陈维金,伪闽东保安队队长,1940年—1945年,在宁德、霞浦交界地区组织伪保安队，配合日军扫荡，残害抗日军民。
刘子宽,伪霞浦县三沙维持会会长,1939年—1942年,在三沙镇组织伪维持会，为日军登陆和补给提供便利，强征渔税、民夫。
陈则安,伪霞浦县教育科科长,1940年—1945年,推行奴化教育，篡改教材，强迫学生学日语，宣传“大东亚共荣”。
林兆祥,伪宁德县保甲长、伪维持会委员,1940年—1944年,在宁德乡村推行保甲制度，监视村民，向日军报告抗日人员行踪。
郑德明,伪福建和平救国军闽东支队支队长,1941年—1945年,率伪军在霞浦、福鼎、宁德沿海劫掠商船、渔船，配合日军封锁抗日根据地。
