name,title,activity_period,notable_deeds
张荫梧,国民党河北民军总指挥（后投敌）,1938-1943,原国民党将领，后与日伪勾结，在冀中地区破坏抗日政权，袭击八路军后方，配合日军扫荡肃宁、河间一带。
高德林,伪华北治安军第1集团军司令,1939-1945,率伪军驻防冀中，多次参与对肃宁、献县、饶阳等地的“清剿”，屠杀抗日干部和群众，烧毁村庄。
刘佩忱,伪肃宁县知事（县长）,1939-1942,在肃宁推行保甲制度，强征粮食，抓捕抗日家属，破坏中共地下组织，协助日军建立据点。
王凤岗,伪肃宁县保安联队长,1940-1945,率伪军多次突袭肃宁抗日根据地，杀害区村干部，制造“付家佐惨案”，后随日军投降。
李景林,伪冀中道尹（驻沧州）,1941-1944,管辖包括肃宁在内的冀中各县伪政权，推行“治安强化运动”，组织伪军配合日军大扫荡。
张万庆,伪沧州特别市警察局长,1942-1945,在沧州及肃宁边界地区设立特务网，逮捕抗日志士，刑讯逼供，破坏地下交通线。
赵锡田,伪华北政务委员会沧州办事处主任,1943-1945,负责沧州地区伪政权与日军联络，调拨物资支援日军扫荡，参与“肃宁大逮捕”行动。
孙殿英,伪新编第5军军长（活动于冀南冀中边缘）,1943-1945,原国民党军阀，投敌后其部队在沧州西部及肃宁周边袭扰抗日武装，掠夺民财。
张岚峰,伪第1军军长（豫皖鲁冀边区）,1944-1945,所部曾北调至冀中，参与对肃宁、河间一带的“铁壁合围”，烧杀抢掠。
吴赞周,伪河北省长（省会保定，管辖沧州肃宁）,1939-1943,作为伪省最高行政长官，签发多项针对冀中抗日根据地的“清乡”命令，支持肃宁伪政权扩充武装。
荣臻,伪华北治安军总司令,1940-1945,统一指挥华北伪军，多次调集重兵对肃宁所在的冀中军区进行大规模扫荡，制造无人区。
齐燮元,伪华北政务委员会治安总署督办,1938-1945,华北伪军最高头目，其下属部队长期驻扎沧州、肃宁，配合日军“三光政策”。
