name,title,activity_period,notable_deeds
王友梅,伪金湖县维持会会长,1939-1940,日军占领金沟镇后，组织维持会，为日军征粮派款，协助维持殖民秩序。
刘长顺,伪金湖县保安大队长,1940-1943,组建伪保安队，配合日军扫荡抗日武装，抓捕抗日军民并移交日军。
陈锡三,伪淮安县知事（兼辖金湖部分地区）,1939-1941,在淮安南部（含今金湖区域）推行保甲制度，强征壮丁，为日军提供情报。
张汉卿,伪淮阴区清乡督察专员（活动于金湖周边）,1942-1944,组织清乡队，在黎城、金沟等地反复“扫荡”，焚毁村庄，杀害抗日家属。
李步云,伪金沟镇维持会副会长,1940-1942,协助日军建立碉堡据点，强迫百姓修路，并勒索商贩财物。
赵德胜,伪自卫团团长（活动于闵桥、塔集一带）,1941-1945,率团配合日军袭击新四军游击队，多次带路突袭村庄，抢掠粮食。
孙耀祖,伪金湖区区长（日伪政权）,1943-1945,推行“治安强化”运动，强征捐税，并告密导致多名地下党员被捕牺牲。
周文奎,伪警察所所长（驻黎城）,1942-1944,设立关卡盘查行人，搜捕抗日分子，严刑逼供，致死致残多人。
吴国栋,伪军连长（驻防金湖银集）,1943-1945,率部参与“三光”行动，烧毁银集周边民房，抢走耕牛和财物。
郑海涛,伪县府秘书（兼管金湖地区情报）,1940-1943,建立密探网，多次向日军报告新四军行踪，导致数次战斗失利。
