name,title,activity_period,notable_deeds
德穆楚克栋鲁普,伪蒙古军政府总裁、伪蒙疆联合自治政府主席,1936-1945,在锡林郭勒盟及察哈尔地区组织伪蒙政权，与日本关东军合作，统辖包括太仆寺旗在内的察锡地区，推行亲日政策并协助日军统治。
李守信,伪蒙古军总司令、伪蒙疆联合自治政府副主席,1933-1945,率部在锡林郭勒、察哈尔一带配合日军作战，参与建立伪蒙政权，其伪军活动范围覆盖太仆寺旗周边地区。
补英达赖,伪蒙古军政府成员、伪蒙疆联合自治政府官员,1936-1945,作为锡林郭勒盟王公之一，参与伪蒙政权筹建，在察锡地区协助日军推行殖民统治。
卓特巴扎普,伪察哈尔盟盟长、伪蒙疆联合自治政府参议,1936-1945,在察哈尔盟及锡林郭勒盟南部地区为日军效力，管理伪政权事务，其辖区与太仆寺旗相邻。
松津旺楚克,伪锡林郭勒盟盟长,1937-1945,在锡林郭勒盟地区担任伪职，协助日军控制当地旗县，包括太仆寺旗一带的行政与治安。
雄诺敦都布,伪锡林郭勒盟副盟长、伪蒙疆联合自治政府官员,1937-1945,在锡林郭勒盟参与伪政权管理，配合日军征发物资、维持治安，活动涉及太仆寺旗周边。
色楞那木济勒,伪太仆寺旗旗长,1937-1945,在太仆寺旗担任伪旗长，直接为日军和伪蒙政权服务，负责当地行政、税收与治安。
贡楚克扎布,伪太仆寺旗维持会会长,1937-1945,在太仆寺旗组织维持会，协助日军维持地方秩序、征集物资，属于当地附逆头目。
巴彦孟和,伪锡林郭勒盟保安队头目,1938-1945,在锡林郭勒盟南部率领伪保安队配合日军清乡，活动范围包括太仆寺旗一带。
阿拉坦鄂齐尔,伪锡林郭勒盟官员、伪蒙疆联合自治政府参议,1937-1945,在锡林郭勒盟参与伪政权，协助日军推行旗县制，对太仆寺旗等地区实施殖民管理。
