name,title,activity_period,notable_deeds
张景惠,伪满洲国国务总理大臣,1935-1945年,出生于辽宁台安，曾任奉系将领，后投靠日本，历任伪满洲国参议府议长、军政部总长、国务总理大臣，积极推行日本殖民政策，镇压东北抗日力量。虽非齐齐哈尔本地人，但作为伪满中央高官，其势力影响覆盖黑龙江全省，包括齐齐哈尔地区。
于琛澂,伪满洲国第四军管区司令官（驻齐齐哈尔）,1932-1945年,吉林双城人，原东北军将领，九一八后投敌，任伪满第四军管区（驻齐齐哈尔）司令官，负责镇压齐齐哈尔及周边抗日武装，多次参与“讨伐”抗联部队，残害抗日军民。
赵仲仁,伪黑龙江省省长（齐齐哈尔）,1932-1933年,黑龙江齐齐哈尔人，原黑龙江省议会议长，1932年日军占领齐齐哈尔后出任伪黑龙江省省长，协助日军建立伪政权，推行奴化政策，强征民夫物资。
王静修,伪黑龙江省警务厅厅长（齐齐哈尔）,1932-1937年,齐齐哈尔人，投日后任伪省警务厅厅长，组织伪警察和特务机构，大肆搜捕抗日地下工作者，破坏抗联地下联络站，制造多起血腥镇压事件。
韩云阶,伪黑龙江省财政厅厅长（齐齐哈尔）,1932-1935年,齐齐哈尔人，原为地方士绅，投日后主管伪省财政，为日军筹措军费，强征苛捐杂税，掠夺粮食资源，支援日本侵华战争。
刘德权,伪齐齐哈尔市市长,1933-1937年,齐齐哈尔本地人，投日后出任伪市长，推行日本殖民统治，实施保甲制度，强制居民领取“良民证”，协助日军清乡，镇压抗日活动。
张鹤岩,伪齐齐哈尔市警察局局长,1932-1940年,齐齐哈尔人，投日后任伪警察局长，指挥伪警配合日军宪兵队，多次突袭抗联秘密据点，逮捕并刑讯抗日志士，双手沾满鲜血。
伊作衡,伪齐齐哈尔地区协和会头目,1934-1945年,齐齐哈尔人，任伪协和会齐齐哈尔本部总务部长，积极宣传“日满亲善”，组织奴化教育，煽动民众告密，破坏抗日群众组织。
关庆山,伪黑龙江省保安队队长（齐齐哈尔）,1932-1938年,齐齐哈尔人，投日后任伪保安队长，率伪军多次围剿抗联小分队，在嫩江流域烧毁村庄，屠杀抗日群众，罪行累累。
李春润,伪齐齐哈尔宪兵队翻译官,1933-1945年,齐齐哈尔人，精通日语，为日本宪兵队充当翻译，参与审讯和酷刑迫害抗日志士，直接协助日军制造多起惨案。
