name,title,activity_period,notable_deeds
黄公略,伪邵阳县维持会会长,1944-1945,日军侵占邵阳后，出面组织伪邵阳县维持会，协助日军征粮、派夫、维持地方秩序，为日军统治服务。
刘建绪,伪湖南省政府主席（日伪时期）,1944-1945,抗战后期在湖南部分沦陷区参与日伪政权活动，协助日军推行伪化统治，影响范围覆盖湘中、湘南地区。
唐生明,伪湖南省保安司令部要职（日伪时期）,1944-1945,在湖南沦陷区与日伪合作，参与伪政权军事警务活动，其活动范围涉及邵阳周边地区。
罗君强,伪湖南省政府委员兼伪长沙市市长,1944-1945,在湖南日伪政权中任职，推行伪化政策，协助日军维持占领区秩序，对包括邵阳在内的湖南地区产生间接影响。
周佛海,伪国民政府要员，曾负责湖南伪化事务,1943-1945,作为汪伪政权核心人物，参与策划湖南沦陷区伪政权建设，其政策影响波及邵阳、隆回一带。
李树森,伪邵阳县政府筹备处主任,1944-1945,日军占领邵阳后，受命筹组伪县政府，拉拢地方士绅附逆，为日军提供情报和物资。
陈光中,伪隆回县维持会副会长,1944-1945,在隆回地区组织维持会，协助日军征粮、抓夫，镇压抗日群众，维护日伪统治。
王剪波,伪邵阳县警察局局长（日伪时期）,1944-1945,在邵阳沦陷期间担任伪警察头目，配合日军搜捕抗日人员，维持伪治安。
张炯,伪湖南省教育厅督学（日伪时期）,1944-1945,在湖南沦陷区推行奴化教育，编写亲日教材，影响邵阳等地学校。
赵恒惕,伪湖南省政府顾问（日伪时期）,1944-1945,虽未直接出任伪职，但与日伪保持联系，为日伪在湖南的统治提供咨询，间接影响邵阳地区。
