name,title,activity_period,notable_deeds
李奎安,重庆市商会会长、伪重庆市商会筹备委员会主任,1939-1945,抗战期间滞留重庆，与日伪方面保持联系，参与组织伪商会，为日军经济掠夺提供协助。
石荣廷,伪重庆市维持会会长,1938-1940,在日军空袭重庆期间，出面组织维持会，协助日军宣传和物资征集。
周德三,伪巴县维持会会长,1939-1941,在巴县地区组织维持会，为日军提供情报和粮食，协助建立伪政权。
刘湘云,伪九龙坡维持会副会长,1940-1943,在九龙坡地区协助日军管理码头和物资运输，参与镇压抗日活动。
陈国栋,伪重庆市警察局督察长,1941-1944,在伪警察系统中任职，参与抓捕抗日志士，为日军提供情报。
王伯修,伪重庆市教育局督学,1940-1945,在伪教育系统中推行奴化教育，编写亲日教材，压制抗日思想传播。
张德明,伪九龙坡保甲长,1941-1945,在九龙坡地区担任保甲长，协助日军征粮、征丁，监视居民活动。
赵文彬,伪重庆市宣传处干事,1942-1945,为日伪撰写宣传文章，鼓吹“大东亚共荣圈”，诋毁抗日力量。
孙海涛,伪巴县保安团团长,1940-1944,率领伪保安团配合日军扫荡，镇压抗日游击队，残害百姓。
吴德全,伪重庆市商会理事,1941-1945,协助日军统制物资，强迫商户缴纳“献金”，从中牟利。
