name,title,activity_period,notable_deeds
张景月,伪铜山县知事,1938-1945,日军占领徐州后出任伪铜山县知事，协助日军维持占领秩序，推行保甲制度，强征民夫，为日军提供粮食和物资，镇压抗日活动。
刘汉川,伪徐海道尹公署参事,1939-1945,在伪徐海道尹公署任职，参与策划清乡运动，协助日军搜捕抗日志士，并参与奴化教育宣传。
王兰田,伪铜山县警察局长,1939-1945,任伪警察局长期间，指挥伪警配合日军宪兵队，多次围剿抗日游击队，逮捕并刑讯无辜百姓，制造多起血案。
赵子厚,伪徐州维持会会长,1938-1939,日军占领徐州初期，出任伪维持会会长，为日军筹粮筹款，组织汉奸武装，协助日军稳定占领区统治。
孙伯文,伪铜山县商会会长,1938-1945,利用商会身份，为日军强制征收商业税，垄断物资，强迫商户捐献钱财，并暗中向日军提供经济情报。
李春芳,伪徐州绥靖公署特务队长,1940-1945,担任伪特务队长，专门刺探抗日军事情报，破坏地下抗日组织，多次带队抓捕并杀害抗日分子。
陈锡三,伪铜山县教育科长,1939-1945,推行奴化教育，强制学校使用日伪教材，宣扬“中日亲善”，迫害有爱国倾向的教师和学生。
周玉山,伪鼓楼区区长,1941-1945,任伪鼓楼区区长期间，负责该区治安和物资配给，强征民夫修筑工事，并协助日军清查抗日嫌疑人员。
吴德胜,伪鼓楼区保安团长,1942-1945,组建伪保安团，配合日军扫荡周边村庄，抢劫百姓财物，杀害抗日群众，并参与“治安强化运动”。
高振东,伪徐州宪兵队翻译兼密探,1938-1945,为日军宪兵队担任翻译，并充当密探，利用语言优势刺探民间抗日言论，直接导致多名抗日志士被捕牺牲。
