name,title,activity_period,notable_deeds
唐生明,汪伪政府军事委员会委员、伪江苏省保安副司令（后为军统潜伏人员）,1940-1945,湖南东安人，奉蒋介石、戴笠之命打入汪伪政权，表面任伪职，实为军统潜伏，负责联络策反伪军将领，其活动范围涉及湖南籍人员网络，但与衡阳松木经开区无直接地方任职关联。
周佛海,汪伪政府行政院副院长、财政部长、伪上海市长,1938-1945,湖南沅陵人，汪伪政权核心人物之一，参与对日妥协与伪政权建设，虽非衡阳本地任职，但作为湖南籍汉奸代表人物，其伪政权体系对湖南沦陷区有间接影响。
陈公博,汪伪政府立法院长、伪行政院长、伪国民政府代主席,1938-1945,虽非湖南籍，但作为汪伪政权最高层之一，其伪政权任命体系覆盖湖南沦陷区，包括衡阳周边伪维持会与伪警察机构。
叶蓬,汪伪政府陆军部长、伪湖北省长、伪武汉行营主任,1939-1945,湖北籍汉奸，其伪军体系曾向湖南北部渗透，与衡阳地区无直接任职，但属长江中游伪政权网络的一部分。
张敬尧,伪华北政务委员会顾问、旧军阀,1933-1935,湖南人，北洋旧军阀，1933年投靠日本，在华北从事伪政权活动，1935年被军统刺杀，与衡阳无直接地方关联。
彭佐熙,伪衡阳县维持会会长（待考）,1944-1945,据衡阳地方文史资料零星记载，1944年衡阳沦陷期间，当地有维持会组织协助日军维持秩序、征派民夫，但具体负责人姓名多已散佚，彭佐熙之名见于部分口述史料，可靠性有限。
刘伯伦,伪衡阳自治会负责人（待考）,1944-1945,衡阳保卫战后期及沦陷期间，部分地方士绅被日军胁迫或主动组织维持会，刘伯伦之名见于衡阳地方回忆资料，但缺乏档案确证。
黄某（佚名）,伪衡阳警察局巡官（待考）,1944-1945,衡阳沦陷后，日军利用部分旧警察维持城区治安，协助搜捕抗日人员，具体姓名多不可考，仅见于零星口述。
李树森,伪湖南自治会筹备委员（待考）,1944-1945,湖南沦陷区伪政权筹备人员之一，活动于长沙、衡阳之间，协助日军推行伪化政策，但档案记载不完整。
罗君强,汪伪政府司法行政部长、伪安徽省长,1940-1945,湖南湘乡人，汪伪政权重要成员，虽主要在安徽、上海活动，但作为湖南籍汉奸，其伪政权网络对湖南沦陷区有间接影响。
