name,title,activity_period,notable_deeds
赵琪,青岛治安维持会会长、伪青岛特别市市长,1938-1945,1938年日军占领青岛后出面组织治安维持会，后任伪青岛特别市市长，协助日军维持殖民统治、推行保甲与物资统制。
姚作宾,伪青岛特别市市长,1943-1945,继赵琪之后任伪青岛特别市市长，配合日军征粮、征工与治安强化运动，是青岛沦陷后期主要伪政权头目之一。
李先良,伪青岛特别市警察局局长,1938-1940年代,在青岛伪警察系统任职，参与镇压抗日活动、搜捕抗日人员并协助日军维持市区治安。
张化南,伪青岛特别市社会局局长,1938-1945,在伪青岛政权中负责社会与工商控制，协助日军推行物资配给、劳工征发及对民众团体的管控。
陈命凡,伪青岛特别市教育局长,1938-1945,推行亲日奴化教育，改编学校课程，组织师生参加日伪宣传活动，为殖民统治培养顺民。
马良,伪山东省省长、伪华北政务委员会委员,1938-1945,山东沦陷后投敌，任伪山东省长等职，协助日军推行治安强化运动、征粮征工，镇压山东抗日根据地。
唐仰杜,伪山东省省长,1940-1945,继马良等之后任伪山东省长，配合日军在山东进行扫荡、清乡和经济掠夺，是山东伪政权核心人物之一。
杨毓珣,伪山东省警务厅厅长,1938-1945,掌管山东伪警察系统，参与搜捕抗日人员、破坏中共地下组织及协助日军维持占领区秩序。
王铁相,伪山东剿共军总司令,1940-1945,率伪军配合日军在山东各地扫荡，进攻抗日根据地，残害抗日军民。
张步云,伪山东保安第二师师长、伪军头目,1938-1945,在山东诸城、胶州一带活动，先投敌后任伪军头目，配合日军扫荡并残害地方抗日力量。
赵保原,伪山东第十三区行政督察专员兼保安司令,1938-1945,在胶东地区与日军勾结，所部多次配合日伪扫荡，进攻八路军和抗日根据地。
李德元,伪青岛特别市商会会长,1938-1945,在青岛工商界为日伪服务，协助日军统制物资、摊派捐款并组织商界附逆活动。
丁敬臣,伪青岛特别市维持会委员、工商界附逆者,1938-1945,青岛沦陷初期参与维持会活动，协助日军接管地方事务并在工商界推行亲日合作。
王克敏,伪中华民国临时政府行政委员会委员长、伪华北政务委员会委员长,1937-1945,华北伪政权首要人物，其政权统辖包括山东、青岛在内的华北占领区，推行亲日卖国政策。
王揖唐,伪华北政务委员会委员长、伪内务总署督办,1937-1945,华北伪政权核心人物，参与统治包括山东、青岛在内的沦陷区，推行治安强化与经济掠夺。
