name,title,activity_period,notable_deeds
张钫,伪河南省政府委员、伪豫西行政公署主任,1944-1945,抗战后期洛阳沦陷后，参与伪河南省政权，在豫西地区协助日军推行伪化统治，活动范围覆盖洛阳及周边。
赵子立,伪洛阳县维持会会长,1944-1945,1944年日军攻占洛阳后，出面组织洛阳县维持会，协助日军维持地方秩序、征发物资，为洛阳地区伪政权头目之一。
郭仲隗,伪洛阳县知事,1944-1945,洛阳沦陷后出任伪洛阳县知事，配合日军在洛阳城乡推行保甲、征粮、拉夫等政策。
王锡龄,伪豫西剿共军司令,1944-1945,抗战末期在豫西洛阳一带收编土匪、伪军，组织伪武装配合日军扫荡抗日根据地，活动于洛阳及洛龙周边地区。
李振亚,伪洛阳警察局局长,1944-1945,洛阳沦陷期间任伪警察局长，协助日军搜捕抗日人员、镇压民众，控制洛阳城区及近郊治安。
陈静斋,伪河南省政府主席,1940-1945,汪伪政权任命的伪河南省政府主席，在河南日占区推行伪化统治，其伪政权体系覆盖洛阳等地。
孙良诚,伪和平救国军第二方面军总司令,1942-1945,原国民党将领，后率部投敌，任伪军要职，所部在河南境内配合日军作战，活动范围包括豫西洛阳一带。
庞炳勋,伪和平救国军第二十四集团军总司令,1943-1945,原国民党河北省主席、集团军总司令，1943年投敌，所部伪军在河南北部及豫西活动，与洛阳地区日军协同。
张岚峰,伪和平救国军第一军军长,1940-1945,在河南东部及豫西地区组织伪军，配合日军扫荡，其势力一度延伸至洛阳周边。
刘昌义,伪豫西保安司令,1944-1945,洛阳沦陷后受日军指使组织伪保安武装，在洛阳、洛龙一带协助日军维持统治、清乡。
