name,title,activity_period,notable_deeds
刘佩忱,伪冀东防共自治政府保安队总队长、伪华北治安军第二集团军司令,1935-1945,原为冀东保安队头目，后投靠日军，在冀东及沧州、海兴一带协助日军扫荡抗日武装，残害百姓，制造多起惨案。
张步云,伪山东保安第三旅旅长、伪皇协军司令,1938-1945,活动于沧州东南部及海兴、无棣交界地区，多次配合日军进攻八路军根据地，抢掠民财，杀害抗日干部。
李景林,伪沧县知事（县长）,1938-1942,在沧县（含今海兴部分区域）推行日伪统治，强征粮税，组织伪警察镇压抗日群众，提供情报给日军。
王振山,伪海兴县保安队队长,1940-1945,率伪军驻守海兴县城及盐区，多次袭击八路军游击队，抓捕并杀害抗日家属，参与日军“清乡”行动。
赵德胜,伪海兴县新民会会长,1941-1945,负责在沦陷区推行奴化教育，组织汉奸情报网，向日军报告抗日活动，协助日军建立保甲制度。
孙殿英,伪新五军军长（后投日）,1943-1945,原国民党将领，1943年投敌后，其部队在冀鲁边（含沧州、海兴）参与“扫荡”，配合日军进攻八路军。
高德林,伪华北治安军第一集团军司令,1940-1945,所部在沧州、海兴一带驻防，多次与日军联合围剿抗日武装，烧毁村庄，屠杀民众。
刘芳圃,伪沧州道尹公署顾问,1939-1945,作为日方顾问参与沧州地区伪政权管理，协助日军征粮、抓夫，破坏抗日组织。
张子良,伪盐山（含海兴）警备大队长,1940-1945,长期在盐山、海兴交界处活动，率伪军袭击八路军后方机关，杀害地方干部，抢夺物资。
李延年,伪冀东保安队沧州支队副队长,1938-1943,参与镇压沧州、海兴一带的抗日救国会，抓捕进步学生和农民，施以酷刑。
