name,title,activity_period,notable_deeds
陈国辉,伪福建自治军总司令、伪兴泉永警备司令,1931-1932年,盘踞泉州、永春、德化一带，割据闽南，后接受国民党收编，但其势力长期控制泉州地区，横征暴敛，与日伪势力有勾连。
高为国,伪闽南建国军总司令,1931-1933年,在泉州、惠安、仙游一带活动，组织伪军，配合日军侵扰闽南沿海，后被国民党军击毙。
李择一,伪厦门特别市政府市长,1938-1945年,福建厦门人，抗战期间投靠日军，出任伪厦门市长，协助日军在闽南地区推行殖民统治，其活动范围覆盖泉州沿海。
许友超,伪厦门特别市商会会长、伪厦门市副市长,1938-1945年,厦门沦陷后投敌，任伪职，协助日军经济掠夺，与泉州商界有联系。
金馥庄,伪厦门特别市政府警察局局长,1938-1945年,在厦门任伪警察头目，镇压抗日民众，其警务活动影响闽南地区。
王天赐,伪泉州维持会会长,1938-1940年,泉州沦陷期间组织伪维持会，为日军筹粮筹款，协助维持殖民秩序。
陈佩玉,伪泉州维持会副会长,1938-1940年,协助王天赐组织伪维持会，在泉州地区为日军服务。
黄奕住,伪厦门特别市参议会参议员,1939-1945年,厦门富商，抗战期间附逆，任伪参议员，为日军经济统治效力，与泉州商界有往来。
林尔嘉,伪厦门特别市参议会参议员,1939-1945年,厦门名流，抗战期间投敌，任伪职，协助日军推行文化殖民。
陈长福,伪福建省政府委员,1940-1945年,福建伪政权要员，协助日军在福建各地推行伪化统治，其活动涉及泉州地区。
林赤民,伪福建省政府警务处处长,1940-1945年,在伪福建省警务部门任职，镇压抗日活动，其警务网络覆盖泉州。
张逸舟,伪福建和平救国军总司令,1938-1945年,组织伪军盘踞闽南沿海，配合日军扫荡，在泉州、惠安一带活动。
黄玉树,伪福建和平救国军副总司令,1938-1945年,与张逸舟共同组织伪军，在泉州沿海地区为日军效力。
陈维金,伪泉州警察局局长,1939-1941年,在泉州任伪警察头目，协助日军维持治安，镇压抗日分子。
吴友德,伪晋江维持会会长,1938-1940年,晋江沦陷期间组织伪维持会，为日军征粮征税，其活动范围紧邻丰泽。
蔡培庆,伪惠安维持会会长,1938-1940年,惠安沦陷期间任伪维持会会长，协助日军统治，与泉州地区伪政权有联系。
李启元,伪南安维持会会长,1938-1940年,南安沦陷期间组织伪维持会，为日军服务，其活动区域靠近泉州丰泽。
王振南,伪安溪维持会会长,1938-1940年,安溪沦陷期间任伪维持会会长，协助日军征粮，与泉州伪政权有联系。
陈清机,伪泉州商会会长,1938-1941年,泉州商界人物，抗战期间附逆，任伪商会会长，为日军经济掠夺服务。
黄克绳,伪泉州教育会会长,1939-1942年,在泉州推行奴化教育，协助日军进行文化殖民。
