name,title,activity_period,notable_deeds
张万春,宁晋县伪县长,1938-1945,投靠日军，任宁晋县伪县长，协助日军推行“治安强化运动”，强征民夫、粮食，镇压抗日群众，破坏中共地下组织。
李景文,宁晋县伪保安联队长,1940-1945,组织伪保安队配合日军扫荡，多次袭击抗日根据地，杀害抗日干部和群众，抢劫财物，烧毁村庄。
赵锡三,宁晋县伪警察所长,1939-1945,效忠日军，负责伪警察事务，搜捕抗日分子，严刑逼供，破坏地下交通线，为日军提供情报。
王老振,宁晋县伪自卫团长,1941-1945,组织伪自卫团，协助日军在宁晋县东部地区设卡盘查，抓捕抗日军民，强征壮丁，欺压百姓。
刘凤鸣,宁晋县伪维持会会长,1937-1940,日军占领宁晋后率先投敌，任维持会长，为日军筹集粮款，强迫百姓“欢迎皇军”，并告密抗日积极分子。
孙殿英,冀南伪军暂编第三军军长（活动于邢台地区）,1943-1945,原国民党将领，后投敌任伪军军长，在邢台、宁晋一带配合日军“扫荡”，收编地方土匪，进攻八路军游击队。
高德林,伪华北治安军邢台道尹公署顾问,1942-1945,作为日军顾问，参与策划对邢台、宁晋等县的“清剿”行动，推行保甲制度，强化伪政权统治。
石友三,冀察战区游击司令（后投敌，活动于邢台周边）,1939-1940,虽名义上抗日，但暗中与日军勾结，在邢台、宁晋边界制造摩擦，袭击八路军，后公开投敌，其部队改编为伪军。
丁树本,伪冀南道保安司令,1941-1945,投敌后任伪冀南道保安司令，管辖包括宁晋在内的多个县，组织伪军配合日军“蚕食”根据地，杀害抗日家属。
张岚峰,伪第二集团军总司令（活动区域含邢台）,1944-1945,率伪军驻扎邢台一带，多次参与对宁晋县抗日根据地的围攻，掠夺物资，强迫民众修筑碉堡和封锁沟。
