name,title,activity_period,notable_deeds
乔效曾,介休县伪县长,1938-1945,投靠日军，任介休县维持会会长及伪县长，协助日军推行“治安强化”运动，强征民夫，搜刮粮食，镇压抗日群众。
张子重,介休县伪保安队队长,1939-1945,组织伪保安队，配合日军扫荡抗日根据地，多次带队抓捕抗日干部和群众，烧毁村庄，罪行累累。
王守业,介休县伪警察局局长,1940-1945,效忠日军，管理伪警察机构，负责侦缉抗日地下人员，参与“清乡”行动，残害进步人士。
李国华,介休县伪新民会会长,1941-1945,在介休推行奴化教育，组织“新民会”宣传亲日思想，强迫民众参加“反共”集会，破坏抗日统一战线。
赵全福,介休县伪区公所区长（城关区）,1942-1945,为日军征收粮款，提供情报，协助日军突袭抗日村庄，导致多名抗日军民被捕牺牲。
郭永昌,介休县伪区公所区长（张兰镇）,1940-1945,在张兰镇一带为日军效力，强征壮丁，勒索百姓，并配合日军“铁壁合围”扫荡太岳山区。
侯殿元,介休县伪自卫团团长,1943-1945,组织伪自卫团，协助日军把守据点，盘查过往行人，多次向日军报告抗日武装动向，造成游击队损失。
马继武,介休县伪合作社理事长,1942-1945,控制介休物资配给，低价强购粮食棉花供日军使用，导致百姓饥荒，从中贪污中饱私囊。
宋子明,介休县伪教育科长,1941-1945,推行日伪奴化教材，强迫学校悬挂日本国旗，禁止讲授中国历史，迫害爱国教师。
梁振邦,介休县伪情报组组长,1943-1945,专门收集抗日武装情报，多次带领日军偷袭县抗日政府驻地，致使多名干部牺牲。
