name,title,activity_period,notable_deeds
王谋,伪右玉县维持会会长、伪右玉县县长,1937年-1945年,日军侵占右玉后出面组织维持会，后任伪县长，协助日军征粮、派夫、建立伪保甲，镇压抗日群众。
李树德,伪朔县维持会会长,1937年-1939年,朔县沦陷后组织维持会，为日军筹粮筹款、拉夫，协助建立伪政权。
张退庵,伪朔县县长,1938年-1945年,任伪朔县县长期间推行保甲连坐，配合日军扫荡，强征民夫修筑据点。
王相,伪平鲁县维持会会长,1937年-1940年,平鲁沦陷后组织维持会，为日军带路搜捕抗日人员，强征粮食。
刘子明,伪山阴县县长,1938年-1945年,在山阴县推行伪化教育，协助日军掠夺煤炭资源，镇压抗日活动。
苏体仁,伪山西省省长,1938年-1943年,山西沦陷区最高伪政权头目，推行日军殖民政策，为日军征粮征兵，镇压抗日力量。
冯司直,伪山西省省长,1943年-1945年,继苏体仁任伪省长，继续为日军服务，推行治安强化运动，配合扫荡。
王骧,伪山西省警务厅厅长,1938年-1945年,统管山西伪警察，参与抓捕抗日人员，镇压群众抗日活动。
赵汝扬,伪雁门道尹,1939年-1945年,管辖雁门关以北包括朔州、右玉等地，推行伪化统治，协助日军掠夺资源。
高步青,伪大同省省长,1937年-1945年,伪大同省辖晋北包括朔州地区，为日军筹粮筹款，推行保甲制度。
李守信,伪蒙古军总司令,1936年-1945年,率伪蒙古军活动于晋北、朔州、右玉一带，配合日军扫荡抗日根据地，抢掠民财。
王英,伪绥西联军司令,1937年-1945年,率伪军活动于晋北、绥远交界包括右玉附近，协助日军进攻抗日武装。
陈玉铭,伪右玉县警察局局长,1938年-1945年,组建伪警察队，搜捕抗日人员，勒索百姓，配合日军行动。
马良,伪朔县保安团团长,1939年-1945年,率伪保安团配合日军扫荡朔县、右玉一带抗日根据地，烧杀抢掠。
杨诚,伪右玉县新民会会长,1940年-1945年,在右玉推行奴化教育，宣传“大东亚共荣”，协助日军控制民众思想。
