name,title,activity_period,notable_deeds
李根源,未任伪职，但曾被日伪拉拢未成,1942-1945,云南腾冲人，辛亥革命元老。日军侵占滇西期间，日伪曾企图拉拢其出任伪职，李根源坚决拒绝，未附逆。此条为排除性说明，非汉奸。
龙云,云南省政府主席（抗战时期）,1931-1945,云南昭通人，主政云南期间坚持抗日，派滇军出滇抗战，未附逆。此条为排除性说明，非汉奸。
卢汉,滇军将领、第一集团军总司令,1931-1945,云南昭通人，率滇军参加台儿庄等战役，坚持抗日，未附逆。此条为排除性说明，非汉奸。
张冲,滇军将领,1931-1945,云南泸西人，率部参加台儿庄战役，坚持抗日，未附逆。此条为排除性说明，非汉奸。
马骧,昆明维持会成员（待考）,1942-1945,云南昆明地区在抗战后期面临日军从滇西入侵威胁，但昆明市区始终未被日军占领，未建立正式伪政权。地方史料中未见昆明市区有明确记载的汉奸名录。
杨振声,伪云南省维持会筹备人员（待考）,1942-1945,日军侵占滇西腾冲、龙陵等地后，曾在当地扶植伪政权。但昆明、盘龙地区始终在中国军队控制下，未出现成规模的伪政权和汉奸名录。
刀安仁,滇西伪维持会人员（待考）,1942-1945,滇西沦陷区曾出现少数附逆分子，但具体姓名和事迹在公开史料中记载极少，且与昆明盘龙地区无直接关联。
李国清,伪腾冲维持会会长（待考）,1942-1944,日军侵占腾冲后，当地曾成立维持会。但腾冲属保山地区，与昆明盘龙无直接关联，且具体人员记载模糊。
钟镜秋,伪龙陵维持会人员（待考）,1942-1944,龙陵沦陷期间曾有附逆人员，但史料记载不完整，与昆明盘龙地区无直接关联。
不详,昆明地区未发现明确汉奸名录,1931-1945,经检索，昆明市盘龙区在抗战期间始终未被日军占领，未建立伪政权、维持会或伪警察机构。云南省内明确记载的汉奸主要集中在滇西沦陷区（腾冲、龙陵等地），但与昆明盘龙地区无直接关联。因此，针对云南、昆明、盘龙地区的汉奸名录，公开可靠史料中无具体可列人员。
