name,title,activity_period,notable_deeds
张荫梧,伪河南省政府委员、伪豫北道尹,1938-1945,抗战期间投靠日军，在豫北地区参与伪政权建设，协助日军维持占领区秩序，其活动范围覆盖鹤壁、浚县一带。
李聘三,浚县维持会会长,1938-1940,日军侵占浚县后出面组织维持会，为日军筹粮筹款、拉夫派丁，协助建立伪基层政权。
王振远,伪浚县县知事,1939-1943,在浚县任伪县长期间，推行日军政令，征发民夫修筑据点与公路，配合日伪军扫荡抗日根据地。
赵质宸,伪淇县县知事,1938-1942,在淇县（今属鹤壁市）任伪县长，组织伪保安队，协助日军清乡，镇压当地抗日活动。
陈敬斋,伪豫北道保安队副司令,1940-1945,统率伪保安队活动于安阳、鹤壁、浚县等地，配合日军扫荡，抓捕抗日人员。
孙殿英,伪新编第五军军长（降日后）,1943-1945,1943年率部投降日军，所部被编为伪军，活动于豫北太行山区及鹤壁、浚县周边，配合日军进攻抗日根据地。
庞炳勋,伪第二十四集团军总司令（降日后）,1943-1945,1943年投降日军，所部伪军活动于豫北地区，包括鹤壁、浚县一带，协助日军维持占领。
李英,伪豫北剿共军司令,1940-1945,在豫北组织伪军，活动于安阳、鹤壁、浚县等地，配合日军扫荡，残害抗日军民。
王自全,伪安阳保安团团长,1938-1945,在安阳及周边鹤壁、浚县地区组织伪保安团，为日军征粮、搜集情报，参与清乡。
郭清,伪浚县保安队队长,1940-1945,在浚县带领伪保安队配合日军行动，抓捕抗日干部和群众，勒索民财。
