name,title,activity_period,notable_deeds
李守信,伪蒙古军总司令、察哈尔盟公署顾问,1933-1945,原为热河地方军阀，1933年投日，任伪蒙古军总司令，在张家口、桥东一带协助日军镇压抗日力量，参与建立伪蒙疆政权，推行奴化政策。
德穆楚克栋鲁普（德王）,伪蒙疆联合自治政府主席,1937-1945,蒙古王公，在日本扶植下于张家口成立伪蒙疆政府，管辖察哈尔等地，在桥东地区设立伪机构，配合日军经济掠夺和殖民统治。
吴鹤龄,伪蒙疆联合自治政府总务厅长,1937-1945,参与伪蒙疆政权行政运作，在张家口桥东地区推行日伪法令，协助日军征粮、抓夫，迫害抗日群众。
于品卿,伪张家口市市长,1937-1945,原为张家口商会会长，投日后任伪市长，管理桥东等区，为日军提供物资情报，协助建立保甲制度，镇压抗日活动。
韩凤楼,伪察哈尔省警务厅厅长,1937-1945,负责张家口及桥东地区伪警察体系，抓捕抗日地下工作者，执行日军“治安肃正”计划，残害平民。
张万庆,伪张家口保安队队长,1938-1945,率伪保安队在桥东一带巡逻，配合日军扫荡，抢劫民财，杀害抗日军民，是当地恶名昭彰的汉奸武装头目。
王英,伪东亚同盟军总司令,1937-1945,原为绥远土匪，投日后在张家口地区组织伪军，参与对抗日根据地的进攻，在桥东地区设据点，欺压百姓。
李守信（副官）,伪蒙古军驻张家口办事处主任,1939-1945,同名不同人，负责伪蒙古军在张家口桥东的物资调配和情报收集，协助日军控制交通线。
陶克陶,伪察哈尔盟盟长,1937-1945,在张家口周边及桥东地区推行日伪“蒙地政策”，强征土地，强迫民众为日军劳役。
宝贵廷,伪张家口宪兵队翻译官,1940-1945,为日军宪兵队充当翻译，参与审讯和酷刑，指认抗日分子，导致多名地下党员牺牲。
