name,title,activity_period,notable_deeds
张宗援,伪山东自治联军副总司令、伪军头目,1937-1945,原名仓谷次太郎，日本浪人出身，长期在山东胶东地区活动，收编土匪、溃兵组成伪军，配合日军进攻胶东抗日根据地，活动范围覆盖威海、烟台一带。
赵保原,伪暂编第十二师师长、伪胶东挺进军司令,1938-1945,原国民党军将领，后投靠日军，盘踞胶东莱阳、海阳、即墨一带，多次配合日军扫荡胶东抗日根据地，与威海、乳山地区抗日武装多次交战。
张步云,伪山东保安第二师师长、伪滨海警备军司令,1938-1945,盘踞诸城、胶县、日照一带，后势力扩展至胶东边缘，配合日军对胶东抗日根据地扫荡，残害抗日军民。
李先良,伪青岛特别市市长、伪青岛保安总队司令,1938-1945,抗战期间在青岛地区与日伪合作，维持伪政权统治，其势力范围与胶东威海、乳山地区有间接关联。
姚作宾,伪青岛特别市市长,1938-1945,青岛伪政权头目，配合日军在山东沿海地区推行殖民统治，对胶东地区抗日活动进行镇压。
赵琪,伪青岛特别市市长、伪华北政务委员会委员,1938-1945,青岛伪政权要员，协助日军维持山东沿海占领区统治，与胶东威海、乳山地区伪政权有行政联系。
王子明,伪威海卫专员公署专员,1938-1945,日占威海卫时期伪政权头目，负责威海卫及周边地区的伪行政事务，配合日军征粮、抓丁、镇压抗日活动。
刘精一,伪威海卫维持会会长,1938-1940,日军侵占威海卫后组织维持会，协助日军维持地方秩序，为日军筹集物资、情报。
戚仁亭,伪威海卫商会会长、维持会成员,1938-1945,威海卫商界附逆者，协助日军控制威海卫经济，为日军采购物资，参与伪政权活动。
孙玺凤,伪威海卫管理公署职员、伪政权参事,1938-1945,原威海卫管理公署人员，日军占领后留任伪职，协助日军管理威海卫地方事务。
王信符,伪牟平县县长,1938-1945,牟平伪政权头目，牟平与乳山相邻，其伪政权活动覆盖乳山北部地区，配合日军扫荡抗日根据地。
张化南,伪海阳县县长,1938-1945,海阳伪政权头目，海阳与乳山接壤，其伪政权配合日军对乳山、海阳交界地区抗日武装进行清剿。
赵汉卿,伪文登县县长,1938-1945,文登伪政权头目，文登与乳山相邻，其伪政权协助日军控制文登、乳山交界地区，镇压抗日活动。
丛镜月,伪文登县保安大队大队长,1938-1945,文登伪军头目，率伪军配合日军扫荡文登、乳山地区抗日根据地，残害抗日军民。
苗占魁,伪军头目、胶东伪军司令,1938-1945,盘踞胶东地区，收编土匪武装投靠日军，配合日军进攻胶东抗日根据地，活动范围涉及威海、乳山一带。
安廷赓,伪军头目、胶东伪军旅长,1938-1945,胶东伪军头目，配合日军在威海、烟台地区扫荡，残害抗日群众。
陈煜,伪烟台市市长,1938-1945,烟台伪政权头目，烟台为威海邻近地区，其伪政权配合日军控制胶东沿海，支援威海、乳山地区日军行动。
张奎文,伪烟台商会会长,1938-1945,烟台商界附逆者，协助日军控制胶东经济，为日军筹集物资，与威海、乳山地区伪政权有经济往来。
刘云楷,伪山东省政府委员、伪胶东道尹,1938-1945,伪胶东道尹，管辖胶东各县包括威海、乳山地区，配合日军推行伪化统治，镇压抗日活动。
唐仰杜,伪山东省省长,1938-1945,伪山东省最高行政长官，推行日军殖民统治政策，其政令覆盖威海、乳山地区，协助日军征粮、抓丁。
马良,伪山东省省长,1938-1940,伪山东省省长，配合日军在山东推行伪化统治，其行政管辖范围包括威海、乳山地区。
朱桂山,伪山东省警务厅厅长,1938-1945,伪山东省警务头目，负责全省伪警察系统，协助日军镇压山东各地抗日活动，包括威海、乳山地区。
程希贤,伪山东省保安司令部司令,1938-1945,伪山东省保安部队头目，统辖山东伪军，配合日军扫荡抗日根据地，其部队在胶东威海、乳山地区有活动。
王铁相,伪军头目、伪山东保安旅旅长,1938-1945,胶东伪军头目，配合日军在威海、乳山地区进行扫荡，残害抗日军民。
李德元,伪军头目、伪胶东保安团团长,1938-1945,胶东伪军头目，活动于威海、乳山一带，配合日军清剿抗日武装。
于学忠,伪乳山维持会会长,1940-1945,乳山地区伪维持会头目，协助日军在乳山地区征粮、抓丁、搜集情报，镇压抗日活动。
姜黎川,伪军头目、胶东伪军司令,1938-1945,原国民党军将领，后投靠日军，盘踞胶东地区，配合日军进攻威海、乳山抗日根据地。
蔡晋康,伪军头目、伪胶东挺进军司令,1938-1945,胶东伪军头目，活动于栖霞、牟平、海阳一带，与威海、乳山地区抗日武装多次交战。
郑维屏,伪军头目、伪威海卫保安司令,1938-1945,威海卫伪军头目，配合日军控制威海卫及周边地区，镇压抗日活动。
王兴仁,伪军头目、伪威海卫警察局局长,1938-1945,威海卫伪警察头目，协助日军维持威海卫治安，抓捕抗日人员。
