"地区","姓名","职务","主要罪行","结局"
"汝南县/平舆县","张子岳","日伪军汉奸（皇协军）","日伪军多次派遣汉奸张子岳夫妇潜回家乡狗头张庄和林道等地刺探我方军情","被吴荃等人捕获，报请汝南县政府及司令部批准，于白龙王庙逢集日执行枪决[reference:3]"
"汝南县/平舆县","魏禄荣","汉奸（唆策者）","1944年河南战役中，驻扎在汝南县城的日寇在汉奸魏禄荣的唆策之下，纠集其他各处据点的日寇上千人，大举东犯，扫荡平舆杨埠庙湾一带，打响了白龙王庙之战[reference:4][reference:5]","待考"
"汝南县","（佚名汉奸）","汉奸（信号员）","1940年9月17日，潜藏在汝南县城仓库附近的汉奸朝天空打了一颗绿色信号弹，为日机指引目标，致使日军飞机轰炸汝南[reference:6]","待考"
"汝南县","（佚名维持会成员）","伪维持会、伪军清剿队成员","1944年3月汝南县城第三次沦陷后，日寇在此组建了汉奸伪维持会和伪军清剿队为其效劳[reference:7]","待考"
"确山县","吴赞臣","国民党确山县党部代理书记长（投敌）","原为国民党遂平县党部书记长、确山县党部代理书记长。直接参与血洗竹沟的行动（“确山惨案”），致使我党数百名伤病员及家属惨遭杀害。豫南沦陷后投靠日伪[reference:8][reference:9]","1944年日军占领遂平后，被嵖岈山抗日第四中队秘密处死[reference:10][reference:11]"
"确山县","（佚名汉奸）","汉奸（带路）","1944年，一伙日本鬼子在汉奸的带领下来到确山县古城乡李湾村，扬言让村里人交出一个名唤郭莲的妇女，否则就要对全体村民下手[reference:12]","待考"
"遂平县","吴赞臣","国民党遂平县党部书记长（投敌）","见上（确山县吴赞臣）","见上"
"西平县","（佚名维持会成员）","伪维持会、皇协军","西平陷落后，日寇在县城和各乡镇建立了维持会，并成立1个团和3个营的“皇协军”，采取以华制华的办法，镇压蹂躪和奴化西平人民[reference:13]","待考"
"西平县/遂平县/上蔡县/舞阳县","（佚名伪军）","西平、上蔡、遂平、舞阳四县日伪军联防司令部","抗日战争时期，日伪军在西平县合水镇成立了西平、上蔡、遂平、舞阳四县日伪军联防司令部，对相距50里外的豫中抗日根据地构成直接威胁[reference:14]","待考"
"泌阳县","张希贤","企图当汉奸者","官庄联庄会武装打击了姚梦杰、刘灿章等地主当权者的不法行为和企图当汉奸的张希贤[reference:15]","被联庄会打击制止"
"泌阳县","王德元","企图当汉奸者","常兴联庄会揭露了常兴的王德元准备扩充力量、等日军过来当汉奸的阴谋[reference:16]","被联庄会揭露制止"
"泌阳县","（佚名维持会成员）","伪维持会成员","日军侵犯泌阳后，利用本地少数汉奸建立临时性傀儡政权——维持会，以维护地方秩序为名，统治沦陷区人民[reference:17]","待考"
"上蔡县","（佚名汉奸）","汉奸","上蔡县杨集惨案相关汉奸。1944年5月上蔡失陷后，高庙乡自卫队威胁日军安全，遭日伪军报复，110名乡自卫队员惨死[reference:18]","待考"
"新蔡县","张新斋","汉奸（叛徒）","新蔡县小李庄烈士惨案中，因叛徒告密，汉奸张新斋带领数百名国民党士兵包围小李庄，拘捕李渭滨等人并于次日集体杀害[reference:19]","待考"
"驻马店地区","乔振方","土匪汉奸","1938年初，遂西舞确一带土匪横行，尤以乔振方为甚。吴赞臣委任乔振方为“遂确西舞抗日义勇军游击司令”[reference:20][reference:21]","待考"
"驻马店地区","（佚名汉奸武装）","汉奸武装（皇协军）","日军在各县城建立日伪据点，组织“维持会”，成立“皇协军”，进行野蛮的“清乡”和“扫荡”，对驻马店地区人民进行残暴的殖民统治[reference:22]","待考"
