姓名,伪职 / 身份,活动地区,核心罪行,最终结局
张逸舟,伪福建和平救国军第二集团军总司令（仙游籍）,乌丘、湄洲、南日岛，闽海沿海,闽海头号海上伪军头目，原土匪，投靠厦门日军；司令部驻马祖南竿塘，总兵力三千余人；以乌丘、湄洲为前进基地，劫掠渔船商船，走私鸦片，袭扰莆田忠门、东埔沿海村庄，进攻闽中海上抗日游击武装，为日军封锁闽中海岸线秀屿新闻网。,抗战胜利被国民党军统收编；后被清算，逃亡海外。
张天真,伪和平救国军大队长（莆田忠门人）,湄洲岛、平海湾,本地海匪，最早引荐张逸舟勾结厦门日军；盘踞湄洲岛，登岛强征粮物，抓捕沿海渔民，充当日军海上耳目秀屿新闻网。,抗战胜利后被国民党收编，解放后镇反处决。
郑德民,伪和平救国军副司令,闽海，莆田外海岛屿,张逸舟副手，多次率伪军窜犯南日、湄洲，劫掠海上船只，搜捕海上游击队员，军统背景，身兼伪军、特务双重身份秀屿新闻网。,战后肃奸逮捕判刑。
林沧圃,伪和平救国军参谋长,闽海各岛屿,伪军核心幕僚，谋划海上袭扰，策动沿海地方人员投敌，处理伪军与日军联络事务秀屿新闻网。,抗战胜利后被国民党当局收用。
陈其华,伪和平救国军一路军司令，驻乌丘屿,乌丘岛、莆田近海,驻守乌丘核心据点，岛上设立日军气象站、补给站；管控海上航运，贩运鸦片、日货，截击我方海上交通船；闽中海上游击队曾截获其巨额物资船莆田晚报。,被军统特务诱杀。
黄玉树,伪和平救国军支队头目,湄洲‑乌丘海域,海匪出身，受日军收编，在莆田沿海烧杀抢劫，逼迫沿海百姓缴纳伪捐，贩卖毒品毒害沿海乡村。,抗战胜利后溃散，解放后被镇压。
薛宝泉,叛变地下交通员，日伪内线,莆田梧塘、涵江一带,原渔溪特支书记，自首叛变；设计诱捕闽中特委王于洁等五位领导，出卖闽中地下组织，充当特务眼线，为日伪搜集内陆情报莆田新闻网。,解放后清算公审处决。
林阿发（绰号，乌丘翻译）,日伪翻译汉奸,乌丘屿,为岛上日军当翻译，协助审讯被俘渔民、海上游击人员，给伪军出谋划策，引导伪军登岸骚扰莆田沿海村庄。,光复后抓捕判刑。
吴阿七,伪乌丘岛伪小队长,乌丘岛,伪军基层头目，带队登湄洲、南日岛抢掠，抓捕不肯纳贡的渔民，残害百姓。,抗战胜利被俘，判处重刑。
刘歪嘴（绰号）,沿海潜入密探,莆田忠门、东埔,受厦门日伪派遣，伪装商贩登陆大陆，刺探国军布防，散布失败谣言，引诱沿海土匪下海投伪。,被闽中武工队锄奸处决。
