姓名,籍贯,主要伪职（南通）,结局
张北生,江苏南通,汪伪苏北清乡主任公署主任、苏北清乡保安司令，通如海启清乡总头目；修筑竹篱笆封锁线，遍设检问所，编组大批伪军、伪保甲，残酷清剿苏中四分区抗日根据地，屠杀大批革命干部群众南通市档案...。,战后判处无期徒刑，长期关押狱中
姜颂平,江苏,汪伪特工总部苏北分区区长，南通特工总站头目，南通地区特务最高负责人；抓捕、刑讯地下抗日人员，策反我方人员，汤景延团谈判对手。,抗战胜利捕获，汉奸罪判处死刑执行枪决
薛郢生,南通,伪维新政府时期首任伪南通县知事，沦陷早期傀儡主官，组建伪县公署，恢复伪税收、保甲，为日军征粮征夫。,战后逮捕判刑，病死狱中
徐宇春,南通,第二任伪南通县知事，地方绅商代表，配合日军物资统制。,汉奸罪判处有期徒刑
保云孙,南通,第三任伪南通县知事，汪伪伪南通县长，管理城区及城郊伪行政。,战后捕获，判处重刑监禁
严明,不详,伪南通特别区公署署长（清乡时期，相当于伪县长），执行张北生清乡政令，编组伪区乡政权。,抗战胜利判处死刑
陈博九,不详,伪清乡警察大队长，张北生心腹，捕杀武工队，施用酷刑，双手沾满革命者鲜血南通市档案...。,光复后公审枪决
施仁心,海门,伪海门县自治会会长、伪海门县知事，海门沦陷头号傀儡，组建海门伪政权、伪警察局，推行良民证、保甲制度。,战后汉奸罪审判，判处死刑
周瑜生,海门,伪海门警察局局长，掌控伪警武装，配合日军下乡扫荡、搜捕抗日人员。,公审处决
汤同书,扬州,伪启东特别区公署署长，清乡时期启东最高伪官；设置封锁线、检问所，强建保甲，残酷迫害启海抗日军民。,抗战胜利江苏高等法院判处死刑枪决
黄召贤,启东,伪启东自治会首任会长，启东沦陷初期傀儡。,战后逮捕判处徒刑
顾宜我（顾尚义）,南通,清乡时期伪段桥乡乡长，姜颂平爪牙，作恶多端。,被新四军短枪队锄奸镇压
傅来群,不详,伪南通特别区警察局局长，配合特工站搜捕爱国人士，维持清乡治安。,战后判处死刑执行枪决
陈才福,不详,伪 26 师师长，盘踞如皋、海安一带伪军头目，配合日军扫荡，残害百姓，横征暴敛南通史志网。,抗战胜利后被处决
秦庆霖,不详,伪 25 师师长，如皋地区主力伪军，参与多次清乡扫荡。,国民政府收编后，因汉奸罪行审判处决
魏桂山,不详,伪特工大队长，驻南通如皋，手段残忍，活埋被俘官兵，作恶累累南通史志网。,抗战胜利公审处死
孙文兰,不详,伪便衣特务队长，海启一带作恶，残杀民兵，悬挂人头恐吓群众南通史志网。,被东南行动大队锄奸处决
