name,title,activity_period,notable_deeds
汤玉麟,热河省主席、伪满参议府参议,1933年前后,九一八事变后放弃热河抵抗，日军进攻承德时率部不战而逃，导致承德迅速沦陷；后投靠伪满洲国，任伪职，其旧部多被编入伪军，对承德及周边地区沦陷负有直接责任。
张海鹏,伪满洲国热河省警备司令、伪军头目,1931-1933年,原东北军将领，九一八后投敌，率伪军配合日军进攻热河，参与攻占承德等地，在承德及河北北部地区进行殖民统治与军事镇压。
李守信,伪蒙古军总司令、伪察南自治政府要员,1933-1945年,热河地区蒙古族伪军头目，长期在承德、赤峰及河北北部活动，配合日军围剿抗日武装，推行保甲连坐，掠夺物资，镇压民众。
王揖唐,伪华北政务委员会委员长、伪内务总署督办,1937-1945年,河北籍汉奸，华北伪政权核心人物，在河北各地推行伪化教育、经济统制与治安强化运动，其政令覆盖承德及河北大部，配合日军镇压抗日根据地。
殷汝耕,伪冀东防共自治政府主席,1935-1937年,在河北东部成立伪政权，推行亲日卖国政策，其伪政权与承德伪满势力相呼应，为日军在河北的侵略提供行政与后勤支持。
池宗墨,伪冀东防共自治政府秘书长、代理主席,1935-1937年,殷汝耕主要助手，参与伪冀东政权运作，在河北地区推行奴化教育与经济掠夺，后伪政权并入伪华北政务委员会，继续附逆。
齐燮元,伪华北治安军总司令、伪华北政务委员会治安总署督办,1937-1945年,河北宁河人，组建伪华北治安军，在河北及承德周边地区配合日军扫荡抗日根据地，推行治安强化运动，抓捕杀害抗日军民。
杜锡钧,伪华北政务委员会绥靖总署督办、伪河北省长,1938-1945年,曾任伪河北省长，在河北境内推行伪政，配合日军对承德及冀东、冀北地区进行治安肃正，掠夺资源，镇压民众抗日活动。
高凌霨,伪河北省长、伪华北政务委员会委员,1937-1940年,天津人，曾任伪河北省长，在河北地区推行亲日政策，协助日军维持占领区秩序，其辖区包括承德周边部分区域。
吴赞周,伪河北省长、伪华北政务委员会委员,1938-1943年,在河北任伪职期间，推行保甲制度、经济统制与奴化教育，配合日军对冀东、冀北抗日根据地的扫荡，承德地区亦受其伪政影响。
荣臻,伪河北省长、伪华北政务委员会要员,1943-1945年,河北籍汉奸，任伪河北省长期间继续推行日军殖民政策，在河北各地包括承德周边强化治安，掠夺物资，镇压抗日力量。
刘佩忱,伪冀东防共自治政府保安队长、伪军头目,1935-1945年,长期在冀东及承德周边活动，率伪军配合日军扫荡，残害抗日群众，参与制造多起惨案。
姜凤飞,伪热河省警务厅厅长、伪满承德警察头目,1933-1945年,在承德地区担任伪满警察要职，负责侦捕抗日人员，推行保甲连坐，镇压承德及双桥一带的抗日活动。
张允荣,伪热河省民生厅厅长、伪满承德地方要员,1933-1945年,在伪满热河省任职，参与承德地区的殖民行政与经济掠夺，推行奴化教育，协助日军维持统治。
德穆楚克栋鲁普,伪蒙疆联合自治政府主席,1936-1945年,在察哈尔、热河及河北北部建立伪蒙疆政权，与承德伪满势力勾结，配合日军进攻抗日根据地，推行殖民统治。
李垣,伪热河省省长、伪满要员,1933-1937年,首任伪满热河省长，在承德地区建立伪政机构，推行保甲制度，协助日军镇压抗日武装，掠夺地方资源。
刘梦庚,伪热河省省长,1937-1940年,继任伪热河省长，在承德及周边地区继续推行殖民政策，强化治安，配合日军扫荡冀热边抗日根据地。
王允卿,伪热河省省长,1940-1943年,在承德任伪热河省长期间，推行经济统制与奴化教育，协助日军围剿抗日武装，镇压民众反抗。
马冠标,伪热河省省长,1943-1945年,伪满末期热河省长，在承德地区继续执行日军殖民政策，强征劳工，掠夺物资，配合日军对冀热辽抗日根据地的扫荡。
张子明,伪承德县县长,1933-1945年,在伪满承德县任职，直接负责双桥及周边地区的伪政事务，推行保甲连坐，征发劳工，协助日军镇压抗日活动。
