name,title,activity_period,notable_deeds
李守信,伪蒙古军总司令、伪蒙古联盟自治政府副主席,1936-1945,原为热河土匪，后投靠日军，任伪蒙古军总司令，在商都、乌兰察布一带配合日军扫荡抗日武装，镇压蒙汉民众，参与建立伪蒙政权。
德穆楚克栋鲁普（德王）,伪蒙古联盟自治政府主席、伪蒙疆联合自治政府主席,1936-1945,蒙古王公，策划内蒙古独立，投靠日本，建立伪蒙政权，其势力范围包括乌兰察布、商都地区，推行日伪统治，协助日军掠夺资源。
吴鹤龄,伪蒙古联盟自治政府总务部长、伪蒙疆政府内政部长,1937-1945,德王亲信，参与伪蒙政权运作，在乌兰察布、商都等地推行保甲制度，协助日军征粮派款，镇压抗日活动。
补英达赖,伪蒙古军副司令、伪蒙疆政府参议,1936-1945,原察哈尔蒙古族上层，投日后任伪蒙古军副司令，在商都、化德一带组织伪军，配合日军进攻抗日根据地。
宝贵廷,伪蒙古军第1师师长,1937-1945,率伪蒙古军在乌兰察布、商都地区驻防，参与围剿八路军大青山支队，残害抗日军民。
丁其达,伪商都县县长,1937-1945,投靠日军，任商都县伪县长，推行日伪法令，强征民夫，搜刮粮食，镇压当地抗日力量。
张启祥,伪商都县警察署署长,1938-1945,充当日军爪牙，在商都地区抓捕抗日志士，破坏地下组织，协助日军进行“清乡”行动。
王英,伪绥西联军司令,1937-1945,原土匪出身，投日后任伪绥西联军司令，活动于乌兰察布南部及商都一带，配合日军袭击抗日游击队。
陈秉义,伪蒙古军第5师师长,1938-1945,率伪军驻扎商都、化德地区，参与日军“治安强化”运动，屠杀抗日群众。
赵承绶,伪晋北自治政府顾问（后投日）,1939-1945,原国民党将领，后投靠日军，在乌兰察布东部地区协助日军建立伪政权，参与对抗日武装的围剿。
