name,title,activity_period,notable_deeds
李守信,伪蒙古军总司令、察哈尔盟公署顾问,1933-1945,原为热河地方军阀，1933年投日，任伪蒙古军总司令，配合日军侵占察哈尔、张家口地区，参与镇压抗日武装，推行伪蒙政权统治。
德穆楚克栋鲁普（德王）,伪蒙古联盟自治政府主席、伪蒙疆联合自治政府主席,1933-1945,蒙古王公，1936年成立伪蒙古军政府，1939年任伪蒙疆联合自治政府主席，控制张家口及察哈尔地区，为日本殖民统治服务。
吴鹤龄,伪蒙疆联合自治政府总务委员长,1937-1945,曾任伪蒙疆政府高级官员，协助日本管理张家口地区行政事务，参与经济掠夺和奴化教育。
于品卿,伪张家口市市长,1937-1945,原张家口商会会长，日军占领后出任伪市长，为日军征粮派款，镇压抗日活动，协助维持殖民秩序。
韩广森,伪察哈尔省警务厅厅长,1937-1945,负责伪察哈尔省（含张家口）警察系统，搜捕抗日人士，配合日军进行“治安肃正”行动。
张英,伪察哈尔省保安队司令,1938-1945,指挥伪保安队协助日军扫荡抗日根据地，在张家口周边地区制造多起屠杀事件。
王英,伪东亚同盟军总司令,1937-1945,原土匪武装头目，投日后在张家口、察北地区组织伪军，进攻八路军和抗日游击队，烧杀抢掠。
李英,伪察哈尔省宣化县知事,1937-1945,在宣化（今属张家口）推行日伪统治，强征劳工，搜刮粮食，镇压当地抗日群众。
赵登科,伪张家口特别市警察局局长,1939-1945,负责张家口城区治安，多次组织抓捕地下抗日分子，破坏中共地下组织。
刘继唐,伪蒙疆银行张家口分行经理,1937-1945,协助日本发行伪蒙疆货币，掠夺张家口地区财富，控制金融命脉。
白凤翔,伪察哈尔省保安团团长,1938-1945,率保安团在张北、万全等地配合日军“清乡”，杀害抗日军民，抢夺物资。
王永清,伪张家口市商会会长,1937-1945,为日军征购物资，强迫商户捐款，充当日本经济侵略的帮凶。
李春秀,伪察哈尔省教育督学,1938-1945,推行奴化教育，强制学校教授日语，宣扬“中日亲善”，毒害青少年。
张万庆,伪张家口地区剿共队长,1940-1945,专门追捕抗日游击队和地下党员，多次带队突袭村庄，杀害无辜百姓。
杨振声,伪察哈尔省司法处处长,1937-1945,为日伪法庭审判抗日志士，判处多人死刑或长期监禁。
