name,title,activity_period,notable_deeds
赵廷选,伪热河省警务厅厅长,1933-1945,在承德地区推行日伪治安肃正，镇压抗日民众，协助日军建立保甲制度，抓捕抗日志士。
张海鹏,伪热河省省长,1933-1937,投靠日军后任伪热河省省长，在承德一带强征民夫、搜刮物资，配合日军“讨伐”抗日武装。
金璧辉（川岛芳子）,伪满洲国安国军司令,1933-1945,曾参与热河作战，在承德及周边地区活动，协助日军策反和镇压抗日力量。
李守信,伪蒙古军总司令,1933-1945,率伪蒙古军配合日军在热河、承德一带进攻抗日游击队，参与制造多起屠杀事件。
丁其昌,伪承德县知事,1937-1945,在承德县（含今鹰手营子矿区一带）推行日伪统治，强征粮食，抓捕抗日群众，协助日军“清乡”。
王永江,伪兴隆县警务科长,1938-1945,在兴隆、鹰手营子矿区交界地带组织伪警察队，围剿八路军游击队，杀害抗日干部。
刘汉臣,伪热河省协和会承德支部长,1939-1945,在承德城乡宣传“日满亲善”，搜集抗日情报，诱降抗日人员，破坏地下组织。
孙殿英,伪华北治安军第1集团军司令（后投日）,1943-1945,所部曾驻防冀东热河边缘，在承德南部及鹰手营子矿区附近配合日军扫荡，残害抗日军民。
陈国瑞,伪热河省警察讨伐队队长,1940-1945,率讨伐队在鹰手营子矿区及周边山区反复“搜剿”八路军，烧毁村庄，杀害无辜百姓。
张凤阁,伪承德县保安队副队长,1941-1945,在鹰手营子矿区一带设卡盘查，抓捕抗日交通员，参与多次突袭抗日根据地的行动。
