name,title,activity_period,notable_deeds
黄大伟,伪闽粤边区绥靖军总司令,1938-1940,原为国民党军将领，抗战初期投敌，在福建漳州、潮汕一带收编土匪与散兵游勇，组织伪军配合日军进攻闽南，曾率部进犯漳浦、云霄等地，后因内部矛盾被日军处死。
翁尚功,伪厦门特别市政府市长,1938-1945,福建厦门人，日军占领厦门后出任伪市长，推行奴化教育、经济统制，配合日军对闽南沿海包括漳州、漳浦一带进行物资掠夺与情报搜集。
李思贤,伪厦门特别市政府市长（继任）,1941-1945,接替翁尚功任伪厦门市长，继续为日军搜刮物资、征发劳工，其伪政权势力范围涉及漳州沿海地区，间接影响漳浦一带的伪维持会活动。
陈长福,伪漳州维持会会长,1938-1939,漳州本地士绅，日军侵占厦门后一度试图在漳州组织维持会，为日军提供粮秣、向导，后因漳州未长期沦陷而活动受限，但仍与漳浦沿海伪组织有联系。
林寄凡,伪漳浦县维持会会长,1939-1940,漳浦县旧文人，在日军舰艇骚扰漳浦沿海时出面组织维持会，协助日军登陆侦察、征发民夫，后随日军撤退而逃往厦门。
吴友仁,伪闽南自治军司令,1938-1941,在漳州、泉州沿海收编海盗与土匪，组成伪军配合日军封锁闽南海岸，曾在漳浦六鳌、旧镇一带登陆劫掠，为日军提供情报。
张鸣岐,伪福建省政府委员,1938-1943,原北洋政客，抗战期间在福建沦陷区出任伪职，协助日军推行保甲制度，其指令涉及漳州、漳浦等地的伪政权组建与物资征调。
王孝英,伪厦门警察局局长,1939-1945,在厦门沦陷区掌管伪警察，镇压抗日分子，其情报网络覆盖漳州、漳浦沿海，多次配合日军搜捕抗日志士。
陈式锐,伪漳州青年团团长,1940-1944,在漳州沦陷区或半沦陷区组织伪青年团，进行亲日宣传，诱骗青年加入伪军，活动范围包括漳浦、云霄等县。
黄奕住,伪漳浦县商会会长,1939-1941,漳浦商人，日军骚扰沿海时出面组织伪商会，为日军采购物资、筹集款项，并协助日军在漳浦建立情报点。
