区域,姓名,籍贯,伪职及主要罪行,结局
伪伊克昭盟公署（驻包头，遥控伊盟各旗）,阿拉坦鄂济尔（阿王）,杭锦旗,伪伊克昭盟公署盟长，杭锦旗札萨克；1938 主动赴包头投靠日军，游说各旗王公附日，强征牛羊马匹供给伪蒙古军，引导日伪骑兵渡河袭扰伊盟沿河地带。,1945 投降交印，居家管制，草场没收
,森盖,达拉特旗,达拉特旗康王手下，伪达拉特旗保安司令；投日后充当伪蒙古军向导，多次渡过黄河袭扰东胜、桃力民抗日根据地，劫掠牧民牲畜。,1940 马占山部进攻东胜被俘，处决
,色登道尔吉,准格尔旗,准格尔旗西协理，蒙奸；暗通包头日本特务机关，鼓动准格尔旗上层投靠日伪，为日军搜集黄河沿线情报。,被白凤翔扣押，后交国民政府处置，判刑
** 达拉特旗（沿黄敌伪前沿）,康达多尔济（康王）,达拉特旗,达拉特旗札萨克；一度摇摆，与包头日伪往来，接受伪伊盟公署委任，暗中给日伪输送物资，后迫于压力回归国民政府阵营。,抗战胜利后居家，管制处理
,巴图敖其尔,达拉特旗,伪达拉特旗警务科长；接受包头伪公署指令，在沿黄渡口布置密探，抓捕渡河往来的抗日人员。,解放后镇反公审处决
杭锦旗,宝音巴图,杭锦旗,伪旗协理，阿拉坦鄂济尔副手；协助阿王联络各旗，征集粮草牲畜，拉拢蒙古上层。,战后判处徒刑
,道尔吉,杭锦旗,伪地方武装头目；配合伪蒙古军在杭锦沿黄草原劫掠，抓捕支援八路军的牧民。,1944 被地方抗日武装击毙
准格尔旗,奇子义,准格尔旗,旗内台吉，勾结包头日伪；秘密接受伪委任，为日伪刺探准格尔、府谷一带河防情报。,抗战胜利后逮捕判刑
,二喇嘛,准格尔旗,伪地方联庄会头目；为日军搜集黄河渡口情报，迫害爱国蒙汉群众。,被武工队就地锄奸
鄂托克旗（今鄂托克前旗、鄂托克旗，含今乌海海勃湾）,贡布扎布,鄂托克旗,伪旗协理，受伪伊盟公署遥控；秘密和包头特务机关联络，企图煽动旗内王公投日，因旗内上层抵制，未能建立正式伪政权。,战后管制判刑
,达木林,鄂托克旗,草原告密分子；给包头日伪传递牧民动向，告发暗中支援游击队的牧户。,解放后斗争镇压
** 郡王旗、札萨克旗（伊金霍洛）,那木吉勒,郡王旗,王府属官，私通包头伪伊盟公署；传递情报，劝说郡王依附日伪，被王府爱国上层压制。,战后管制处理
乌审旗,朝克图,乌审旗,王府下级官员，私通日伪；秘密接受伪委任，试图策动部分保安队投敌，阴谋败露后逃窜。,解放后抓获处决
