name,title,activity_period,notable_deeds
陈璧君,汪伪政权中央监察委员会常务委员、汪伪广东省政府指导长官,1938-1945,汪精卫之妻，随汪投敌后参与汪伪政权核心决策，曾赴广东活动，为汪伪在广东的统治站台撑腰。
陈耀祖,汪伪广东省政府主席,1940-1944,汪伪政权在广东的最高行政头目之一，推行伪化统治，配合日军对广东沦陷区进行控制与掠夺。
褚民谊,汪伪外交部长、汪伪广东省长,1940-1945,汪伪政权要员，后任伪广东省长，在广东推行亲日卖国政策，协助日军维持占领秩序。
李讴一,汪伪广东省政府委员、伪广州市长等职,1940-1945,在广东沦陷区担任伪职，参与伪政权行政与治安事务，为日军统治服务。
汪屺,汪伪广东省警务处长、伪广州市长,1940-1945,长期在广东伪政权中任职，掌管伪警察系统，镇压抗日活动，维护日伪统治。
郭卫民,伪江门维持会会长、伪新会县县长,1939-1945,江门沦陷后出面组织维持会，后任伪新会县长，协助日军征粮、拉夫、维持治安，是江门地区重要附逆者。
赵其休,伪江门商会会长、维持会成员,1939-1945,江门沦陷时期与日军合作，参与伪维持会与商会事务，为日伪筹款筹粮。
陈子褒,伪江门警察局长,1939-1945,在江门地区掌管伪警察力量，配合日军搜捕抗日人员，维持沦陷区秩序。
何少泉,伪新会县维持会副会长,1939-1945,新会、江门一带维持会头目之一，协助日军推行保甲与征发。
李朗鸡,伪江门地区保甲长、密探,1939-1945,在江门及周边为日军搜集情报，协助抓捕抗日分子，属基层附逆人员。
陈公博,汪伪政权立法院长、汪伪广东省长,1940-1945,汪伪核心人物之一，曾兼任伪广东省长，对广东沦陷区伪化统治负有责任。
林柏生,汪伪宣传部长、汪伪广东省长,1940-1945,汪伪宣传系统头目，后任伪广东省长，在广东推行奴化宣传与亲日教育。
周佛海,汪伪财政部长、伪警政部长等,1940-1945,汪伪政权核心成员，其财政与警政体系覆盖广东沦陷区，间接影响江门地区伪政权运作。
陈春圃,汪伪广东省政府委员、伪建设厅长,1940-1945,在广东伪政权中任职，参与经济与建设事务，为日军掠夺资源服务。
王英儒,伪广东治安维持会头目,1938-1940,广州及广东沦陷初期维持会系统人物，其网络延伸至江门等沦陷城镇。
吕春荣,伪广东绥靖军头目,1940-1945,汪伪广东伪军头目之一，配合日军在珠江三角洲包括江门一带进行清乡与扫荡。
彭济华,伪广东绥靖军师长,1940-1945,率伪军在广东沦陷区协助日军作战，活动范围包括江门周边地区。
李辅群,伪广东绥靖军头目、伪军师长,1940-1945,在珠江三角洲一带为日军效力，参与对江门、新会周边抗日武装的进攻。
陈孝强,伪广东绥靖军头目,1940-1945,广东伪军系统人物，协助日军维持沦陷区治安，活动涉及江门地区。
黄克明,伪新会县警察局长,1939-1945,在新会、江门一带掌管伪警察，配合日军镇压抗日活动。
