name,title,activity_period,notable_deeds
张启璜,伪信阳县维持会会长、伪信阳县政府筹备处主任,1938-1940,日军侵占信阳后出面组织维持会，协助日军征粮、派夫、维持城区秩序，并参与筹建伪政权。
李葆初,伪信阳县知事,1939-1943,在日伪扶持下出任伪信阳县知事，推行保甲连坐，配合日军清乡、征发民夫与物资。
王少卿,伪信阳警察局局长,1938-1942,协助日军搜捕抗日人员，控制城区户口与通行，参与镇压民众抗日活动。
刘子厚,伪豫南道尹公署道尹,1940-1944,统辖豫南伪政权，配合日军在信阳及周边各县推行治安强化运动，征粮征丁。
陈仲孚,伪信阳县保安团团长,1941-1945,率伪保安团配合日军扫荡信阳南部山区，袭击抗日游击队，抢掠民财。
赵子俊,伪信阳商会会长,1938-1944,为日军筹款筹物，强制商户摊派，协助日伪实行经济统制与物资掠夺。
孙耀先,伪信阳县教育科科长,1939-1943,推行奴化教育，篡改教材，组织师生参加日伪庆祝活动，宣传“大东亚共荣”。
马伯良,伪罗山县维持会会长,1938-1941,在信阳东部罗山地区组织维持会，为日军带路、征粮，协助建立伪基层政权。
黄子敬,伪潢川县知事,1939-1944,在信阳东北潢川一带充任伪县长，配合日军封锁抗日根据地，征发民夫修筑据点。
吴少华,伪光山县保安大队大队长,1940-1945,率伪军在光山、信阳交界地区配合日军扫荡，捕杀抗日干部与群众。
郑维山,伪息县维持会副会长,1938-1940,协助日军在息县建立伪组织，征粮派款，维持日军占领秩序。
何镜如,伪豫南绥靖军司令,1942-1945,统率伪军盘踞信阳、驻马店一带，配合日军进攻抗日根据地，残害百姓。
徐铁珊,伪信阳车站维持会会长,1938-1941,控制信阳火车站搬运与物资，为日军转运掠夺物资，协助稽查抗日人员。
周汉臣,伪信阳县保甲长,1939-1945,在信阳城郊推行保甲制度，监视居民，举报抗日人员，摊派捐税与劳役。
杨子明,伪正阳县知事,1940-1944,在信阳东南正阳地区充任伪县长，配合日军清乡，强征粮食与壮丁。
刘文卿,伪确山县维持会会长,1938-1941,在信阳北部确山组织维持会，为日军提供情报、粮草，协助建立伪政权。
张子杰,伪泌阳县保安团团长,1941-1945,率伪保安团在泌阳、信阳交界地区配合日军扫荡，抢掠村庄，杀害抗日群众。
王敬斋,伪桐柏县维持会会长,1939-1942,在信阳西部桐柏地区组织维持会，协助日军控制山区交通，征发民夫。
李汉卿,伪豫南道警察专员,1941-1945,统管豫南伪警察系统，在信阳及周边各县搜捕抗日人员，推行治安强化。
陈少康,伪信阳合作社理事长,1940-1944,以合作社名义为日军统购粮食、棉花等物资，盘剥农民，协助经济掠夺。
