name,title,activity_period,notable_deeds
李思贤,厦门维持会会长、厦门特别市市长,1938-1945,厦门沦陷后出面组织伪厦门维持会，后任伪厦门特别市市长，协助日军推行殖民统治、征粮征税、镇压抗日活动。
林济川,伪厦门特别市政府警察局局长,1938-1945,在厦门伪政权中掌管警察系统，参与搜捕抗日人士、维持日伪治安统治。
陈长福,伪厦门商会会长、伪厦门维持会委员,1938-1945,厦门沦陷后依附日军，参与伪维持会与商会活动，为日军筹款筹粮、稳定殖民经济秩序。
黄仲训,伪厦门特别市参议会成员、地方附逆士绅,1938-1945,厦门地方士绅，沦陷后与日伪合作，参与伪政权咨询与地方事务，为殖民统治提供社会支持。
王起模,伪厦门特别市政府教育局局长,1938-1945,在厦门推行奴化教育，协助日军控制学校、篡改教材、宣传所谓‘大东亚共荣圈’。
陈式锐,伪厦门特别市政府财政局局长,1938-1945,负责伪厦门财政税收，为日军搜刮民财、维持伪政权运转。
张鸣岗,伪福建省政府委员、伪厦门市市长（汪伪系统）,1940-1945,汪伪政权在福建地区的重要附逆官员，参与伪福建省与厦门市政务，配合日军统治。
陈群,伪福建省政府主席（汪伪）,1940-1943,汪伪政权福建省最高长官，在福建推行日伪政策，镇压抗日力量，后自杀。
林知渊,伪福建省政府委员、伪厦门地区活动人物,1940-1945,在汪伪福建政权中任职，参与厦门及福建沿海地区的伪政权活动。
李择一,伪厦门特别市社会局局长,1938-1945,掌管伪厦门社会事务，协助日军控制民众团体、推行保甲与物资配给。
吴天民,伪厦门特别市工务局局长,1938-1945,负责伪厦门市政工程与建设，配合日军军事需要修建设施。
蔡培,伪厦门特别市卫生局局长,1938-1945,在厦门伪政权中负责卫生行政，协助日军维持占领区秩序。
许友超,伪厦门维持会委员、地方附逆侨商,1938-1945,厦门侨商出身，沦陷后参与伪维持会，为日军筹款并协助控制侨汇与物资。
陈伯诚,伪厦门特别市保甲长、地方维持会骨干,1938-1945,在厦门基层推行保甲制度，协助日军清查户口、监视居民、抓捕抗日嫌疑人员。
林滚,伪厦门特别市警察局督察长,1938-1945,在厦门伪警察系统中担任要职，参与镇压抗日活动与搜捕爱国人士。
陈金城,伪厦门特别市税务局负责人,1938-1945,负责厦门伪政权税收，为日军掠夺地方资源提供财政支持。
黄奕住,厦门地方附逆士绅（与日伪有合作记载）,1938-1945,厦门知名人物，抗战期间与日伪政权有经济合作记载，参与维持地方殖民秩序。
李维修,伪厦门特别市政府秘书处成员,1938-1945,在伪厦门市政府中担任文秘与行政职务，协助日伪政令传达与执行。
陈达元,伪厦门特别市宣传处负责人,1938-1945,负责日伪宣传，在厦门推行亲日、奴化宣传，压制抗日言论。
林尔嘉,厦门地方附逆人物（与日伪有往来记载）,1938-1945,厦门地方名流，抗战期间与日伪政权有往来，参与部分地方事务合作。
