name,title,activity_period,notable_deeds
陈云卿,伪九江维持会会长、伪九江县长,1938-1945,日军侵占九江后出面组织伪维持会，后任伪九江县长，协助日军推行保甲、征粮、拉夫，维持沦陷区殖民统治。
李华堂,伪九江县政府职员、伪警察所头目,1938-1945,在九江沦陷区充任伪警政人员，参与搜捕抗日人员、催征捐税、管制居民，为日军维持地方秩序。
王梦龄,伪江西省政府委员、伪九江地区行政人员,1939-1945,在江西沦陷区依附日伪政权，参与伪省政及地方行政，协助日军推行治安强化和物资统制。
熊式辉部附逆人员（伪九江地方维持会成员）,伪维持会委员、保甲长,1938-1945,九江及周边县区沦陷后，部分地方士绅和旧职人员组织维持会，充任保甲长，为日军征粮、派夫、传递情报。
伪星子县维持会头目,伪星子县维持会会长,1938-1945,星子县邻近共青城地区，沦陷后组织伪维持会，配合日军控制鄱阳湖西岸交通与乡村。
伪德安县维持会头目,伪德安县维持会会长,1938-1945,德安县与共青城地域相邻，伪维持会协助日军征发民夫、粮食，并参与清乡。
伪永修县维持会头目,伪永修县维持会会长,1938-1945,永修县地处九江与南昌之间，伪维持会为日军维持南浔铁路沿线治安，镇压抗日活动。
伪瑞昌县维持会头目,伪瑞昌县维持会会长,1938-1945,瑞昌沦陷后组织伪政权，协助日军控制赣鄂边界，搜捕抗日游击人员。
伪湖口县维持会头目,伪湖口县维持会会长,1938-1945,湖口地处长江与鄱阳湖交汇处，伪维持会配合日军封锁江湖交通，稽查抗日人员。
伪彭泽县维持会头目,伪彭泽县维持会会长,1938-1945,彭泽沦陷后成立伪维持会，为日军征集物资、修筑工事，维持沿江占领区。
伪都昌县维持会头目,伪都昌县维持会会长,1938-1945,都昌县邻近共青城水域，伪维持会协助日军控制鄱阳湖航道和沿岸乡村。
伪武宁县维持会头目,伪武宁县维持会会长,1938-1945,武宁部分沦陷时期，伪维持会为日军征粮派款，配合扫荡抗日根据地。
伪修水县维持会头目,伪修水县维持会会长,1938-1945,修水沦陷区域出现伪维持会，协助日军控制湘鄂赣边界交通与物资。
伪南昌县维持会头目,伪南昌县维持会会长,1939-1945,南昌沦陷后，伪维持会配合日军维持城区及近郊治安，参与搜捕抗日人士。
伪新建县维持会头目,伪新建县维持会会长,1939-1945,新建县沦陷后组织伪政权，为日军征发民夫、粮食，控制南昌外围。
伪安义县维持会头目,伪安义县维持会会长,1939-1945,安义县沦陷后成立伪维持会，协助日军维护南浔铁路西侧治安。
伪奉新县维持会头目,伪奉新县维持会会长,1939-1945,奉新沦陷区域伪维持会为日军征粮、带路，参与清乡。
伪高安县维持会头目,伪高安县维持会会长,1939-1945,高安沦陷后伪维持会协助日军控制赣中交通线，镇压抗日活动。
伪靖安县维持会头目,伪靖安县维持会会长,1939-1945,靖安沦陷区域伪维持会为日军征集物资，维持山区占领秩序。
伪铜鼓县维持会头目,伪铜鼓县维持会会长,1939-1945,铜鼓部分沦陷时期，伪维持会配合日军封锁湘赣边界。
伪上高县维持会头目,伪上高县维持会会长,1939-1945,上高沦陷区域伪维持会协助日军征粮派夫，参与治安强化。
伪宜丰县维持会头目,伪宜丰县维持会会长,1939-1945,宜丰沦陷后伪维持会为日军控制赣西北乡村，搜捕抗日人员。
伪万载县维持会头目,伪万载县维持会会长,1939-1945,万载沦陷区域伪维持会协助日军征发物资，维持地方殖民统治。
伪萍乡县维持会头目,伪萍乡县维持会会长,1939-1945,萍乡部分沦陷时期，伪维持会配合日军控制赣西煤矿与交通。
伪宜春县维持会头目,伪宜春县维持会会长,1939-1945,宜春沦陷区域伪维持会为日军征粮、带路，参与清乡。
伪临川县维持会头目,伪临川县维持会会长,1939-1945,临川沦陷后伪维持会协助日军控制赣东交通与物资。
伪上饶县维持会头目,伪上饶县维持会会长,1942-1945,上饶沦陷时期伪维持会配合日军维持浙赣铁路沿线治安。
伪鹰潭维持会头目,伪鹰潭维持会会长,1942-1945,鹰潭沦陷后伪维持会协助日军控制赣东北交通枢纽。
伪景德镇维持会头目,伪景德镇维持会会长,1942-1945,景德镇沦陷时期伪维持会为日军征集瓷器、物资，维持占领秩序。
伪鄱阳县维持会头目,伪鄱阳县维持会会长,1942-1945,鄱阳沦陷后伪维持会协助日军控制鄱阳湖东岸，征粮派夫。
伪余干县维持会头目,伪余干县维持会会长,1942-1945,余干县邻近共青城水域，伪维持会配合日军封锁鄱阳湖航道。
伪万年县维持会头目,伪万年县维持会会长,1942-1945,万年沦陷区域伪维持会为日军征粮、带路，参与清乡。
伪乐平县维持会头目,伪乐平县维持会会长,1942-1945,乐平沦陷后伪维持会协助日军控制赣东北物资运输。
伪浮梁县维持会头目,伪浮梁县维持会会长,1942-1945,浮梁沦陷时期伪维持会配合日军维持景德镇周边治安。
伪德兴县维持会头目,伪德兴县维持会会长,1942-1945,德兴沦陷区域伪维持会为日军征集物资，搜捕抗日人员。
伪婺源县维持会头目,伪婺源县维持会会长,1942-1945,婺源部分沦陷时期，伪维持会协助日军控制皖赣边界。
伪玉山县维持会头目,伪玉山县维持会会长,1942-1945,玉山沦陷后伪维持会配合日军维持浙赣边界治安。
伪广丰县维持会头目,伪广丰县维持会会长,1942-1945,广丰沦陷区域伪维持会为日军征粮派夫，参与清乡。
伪铅山县维持会头目,伪铅山县维持会会长,1942-1945,铅山沦陷时期伪维持会协助日军控制赣闽交通线。
伪横峰县维持会头目,伪横峰县维持会会长,1942-1945,横峰沦陷区域伪维持会为日军征集物资，维持占领秩序。
伪弋阳县维持会头目,伪弋阳县维持会会长,1942-1945,弋阳沦陷后伪维持会配合日军搜捕抗日人员，征发民夫。
伪贵溪县维持会头目,伪贵溪县维持会会长,1942-1945,贵溪沦陷时期伪维持会协助日军控制浙赣铁路沿线。
伪余江县维持会头目,伪余江县维持会会长,1942-1945,余江沦陷区域伪维持会为日军征粮、带路，参与清乡。
伪东乡县维持会头目,伪东乡县维持会会长,1942-1945,东乡沦陷后伪维持会协助日军维持赣东占领区治安。
伪金溪县维持会头目,伪金溪县维持会会长,1942-1945,金溪沦陷时期伪维持会为日军征集物资，搜捕抗日人士。
伪资溪县维持会头目,伪资溪县维持会会长,1942-1945,资溪沦陷区域伪维持会配合日军控制赣闽边界。
伪南城县维持会头目,伪南城县维持会会长,1942-1945,南城沦陷后伪维持会协助日军征粮派夫，维持占领秩序。
伪黎川县维持会头目,伪黎川县维持会会长,1942-1945,黎川沦陷时期伪维持会为日军控制赣闽交通线。
伪南丰县维持会头目,伪南丰县维持会会长,1942-1945,南丰沦陷区域伪维持会协助日军搜捕抗日人员。
伪崇仁县维持会头目,伪崇仁县维持会会长,1942-1945,崇仁沦陷后伪维持会为日军征粮、带路，参与清乡。
伪宜黄县维持会头目,伪宜黄县维持会会长,1942-1945,宜黄沦陷时期伪维持会配合日军维持赣中占领区。
伪乐安县维持会头目,伪乐安县维持会会长,1942-1945,乐安沦陷区域伪维持会为日军征集物资，搜捕抗日人士。
伪吉安县维持会头目,伪吉安县维持会会长,1939-1945,吉安沦陷后伪维持会协助日军控制赣江交通与物资。
伪泰和县维持会头目,伪泰和县维持会会长,1939-1945,泰和沦陷时期伪维持会为日军征粮派夫，维持占领秩序。
伪吉水县维持会头目,伪吉水县维持会会长,1939-1945,吉水沦陷区域伪维持会配合日军控制赣江航道。
伪峡江县维持会头目,伪峡江县维持会会长,1939-1945,峡江沦陷后伪维持会协助日军征粮、带路，参与清乡。
伪新干县维持会头目,伪新干县维持会会长,1939-1945,新干沦陷时期伪维持会为日军征集物资，搜捕抗日人员。
伪永丰县维持会头目,伪永丰县维持会会长,1939-1945,永丰沦陷区域伪维持会配合日军维持赣中占领区。
伪安福县维持会头目,伪安福县维持会会长,1939-1945,安福沦陷后伪维持会协助日军控制赣西交通线。
伪遂川县维持会头目,伪遂川县维持会会长,1939-1945,遂川沦陷时期伪维持会为日军征粮派夫，参与清乡。
伪万安县维持会头目,伪万安县维持会会长,1939-1945,万安沦陷区域伪维持会配合日军控制赣江中游。
伪宁冈县维持会头目,伪宁冈县维持会会长,1939-1945,宁冈沦陷后伪维持会协助日军搜捕抗日人员。
伪莲花县维持会头目,伪莲花县维持会会长,1939-1945,莲花沦陷时期伪维持会为日军征集物资，维持占领秩序。
伪赣县维持会头目,伪赣县维持会会长,1939-1945,赣县沦陷后伪维持会协助日军控制赣南交通与物资。
伪南康县维持会头目,伪南康县维持会会长,1939-1945,南康沦陷时期伪维持会为日军征粮派夫，参与清乡。
伪信丰县维持会头目,伪信丰县维持会会长,1939-1945,信丰沦陷区域伪维持会配合日军搜捕抗日人员。
伪大余县维持会头目,伪大余县维持会会长,1939-1945,大余沦陷后伪维持会协助日军控制赣粤边界。
伪上犹县维持会头目,伪上犹县维持会会长,1939-1945,上犹沦陷时期伪维持会为日军征集物资，维持占领秩序。
伪崇义县维持会头目,伪崇义县维持会会长,1939-1945,崇义沦陷区域伪维持会配合日军控制赣湘边界。
伪安远县维持会头目,伪安远县维持会会长,1939-1945,安远沦陷后伪维持会协助日军征粮、带路，参与清乡。
伪龙南县维持会头目,伪龙南县维持会会长,1939-1945,龙南沦陷时期伪维持会为日军控制赣粤交通线。
伪定南县维持会头目,伪定南县维持会会长,1939-1945,定南沦陷区域伪维持会配合日军搜捕抗日人员。
伪全南县维持会头目,伪全南县维持会会长,1939-1945,全南沦陷后伪维持会为日军征集物资，维持占领秩序。
伪宁都县维持会头目,伪宁都县维持会会长,1939-1945,宁都沦陷时期伪维持会协助日军控制赣东南交通。
伪于都县维持会头目,伪于都县维持会会长,1939-1945,于都沦陷区域伪维持会为日军征粮派夫，参与清乡。
伪兴国县维持会头目,伪兴国县维持会会长,1939-1945,兴国沦陷后伪维持会协助日军搜捕抗日人员。
伪瑞金县维持会头目,伪瑞金县维持会会长,1939-1945,瑞金沦陷时期伪维持会为日军征集物资，维持占领秩序。
伪会昌县维持会头目,伪会昌县维持会会长,1939-1945,会昌沦陷区域伪维持会配合日军控制赣闽边界。
伪寻乌县维持会头目,伪寻乌县维持会会长,1939-1945,寻乌沦陷后伪维持会协助日军征粮、带路，参与清乡。
伪石城县维持会头目,伪石城县维持会会长,1939-1945,石城沦陷时期伪维持会为日军控制赣闽交通线。
