name,title,activity_period,notable_deeds
张昌德,伪酉阳县维持会会长、伪酉阳县政府筹备处主任,1940年代前期,抗战期间在酉阳地区出面组织伪维持会，协助日军及伪政权维持地方秩序，推行保甲连坐，为日伪征发民夫、物资。
陈国钧,伪酉阳县警察局局长,1940年代前期,在伪酉阳县政权中掌管警察武装，配合日伪清乡、搜捕抗日人员，镇压地方抗日活动。
李萼楼,伪酉阳县保安团团长,1940年代前期,率伪保安团配合日军及伪军行动，在酉阳及周边地区参与清剿抗日武装、征粮抓丁。
王仲廉,伪黔江-酉阳边区维持会副会长,1940年代前期,在渝东南边区协助日伪建立基层伪组织，拉拢地方士绅附逆，为日军搜集情报、筹办粮秣。
刘雨卿,伪秀山-酉阳边区自治会会长,1940年代前期,在秀山、酉阳交界地区组织伪自治会，宣传“中日亲善”，协助日伪维持占领区秩序。
冉仲英,伪酉阳县龙潭镇维持会会长,1940年代前期,在酉阳龙潭镇组织伪维持会，为日伪军筹粮、派夫，并参与清查抗日家属。
陈子庄,伪酉阳县龚滩镇保甲长、伪维持会委员,1940年代前期,在龚滩一带推行伪保甲制度，协助日伪征丁征粮，监视并举报抗日活动。
石体元,伪酉阳县教育会会长,1940年代前期,在酉阳教育界推行奴化教育，篡改教材，宣传“大东亚共荣圈”，拉拢教师附逆。
周燮卿,伪川黔湘鄂边区绥靖军司令,1940年代前期,在渝东南、黔东北、湘西交界地区组织伪军，配合日军作战，骚扰抗日后方，残害抗日军民。
杨卓之,伪黔江-彭水-酉阳边区联防司令,1940年代前期,在黔江、彭水、酉阳边区组建伪联防武装，为日军搜集情报，破坏抗日交通线。
张彬,伪酉阳县商会会长,1940年代前期,在酉阳商界为日伪筹款筹物，垄断物资贸易，协助日伪实行经济封锁。
何绍周,伪酉阳县新民会指导部部长,1940年代前期,在酉阳组织伪新民会，进行亲日宣传，发展伪会员，配合日伪进行思想控制。
