name,title,activity_period,notable_deeds
张海鹏,伪满洲国热河省省长兼第五军管区司令,1932-1945,原东北军将领，1932年投敌，曾任伪满热河省长，但早年曾在黑龙江穆棱一带活动，后成为日军在东北的重要傀儡，参与镇压抗日武装。
于琛澂,伪满洲国第四军管区司令、伪滨江省省长,1932-1945,原吉林自卫军将领，1932年率部投日，后任伪满第四军管区司令，管辖包括牡丹江地区，多次参与“讨伐”抗日联军，残害抗联将士。
李文光,伪穆棱县县长,1933-1938,在穆棱县任职期间，积极推行日伪殖民政策，强征劳工，配合日军清乡，破坏抗日地下组织，迫害抗日家属。
王殿玉,伪穆棱县警察署署长,1934-1940,在穆棱地区组织伪警察，多次参与搜捕抗联交通员，刑讯逼供，导致多名抗日志士牺牲，并协助日军建立“集团部落”。
赵连升,伪牡丹江省警务厅厅长,1937-1943,在牡丹江地区主持伪警务，指挥特务警察破坏抗联地下联络站，诱降抗联叛徒，参与制造多起屠杀事件。
刘德权,伪牡丹江省协和会会长,1938-1945,在牡丹江地区推行奴化教育，组织协和会宣传“日满亲善”，搜集抗日情报，协助日军经济掠夺。
孙鸣山,伪穆棱县保安队队长,1935-1942,率保安队配合日军“讨伐”抗联第五军，在穆棱山区多次袭击抗联密营，杀害抗联伤员，并参与强迫农民迁入“人圈”。
关庆禄,伪牡丹江宪兵队翻译官,1936-1945,在牡丹江宪兵队担任翻译，参与审讯和拷打被捕抗联人员，直接导致多名抗联干部被处决，并协助日军进行“特别移送”。
高德林,伪穆棱县山林警察队队长,1939-1945,专门负责搜捕抗联密营，熟悉穆棱山林地形，多次带路袭击抗联后方基地，烧毁粮食和物资，造成抗联严重损失。
张景惠,伪满洲国国务总理大臣,1935-1945,虽为伪满中央高官，但原籍辽宁，曾长期在黑龙江地区活动，其伪政权对牡丹江、穆棱地区实行殖民统治，支持日军镇压抗联，是东北最大汉奸之一。
