name,title,activity_period,notable_deeds
黄公略,伪邵阳县维持会会长,1944-1945,日军侵占邵阳后，出面组织伪邵阳县维持会，协助日军征粮、派夫、维持占领区秩序。
刘建绪,伪邵阳县自治会负责人,1944-1945,在邵阳沦陷期间依附日军，参与伪政权筹组，为日军搜集地方情报、劝诱民众归顺。
陈光中,伪邵阳保安队队长,1944-1945,率部投敌，编入伪军，配合日军在邵阳周边乡镇清乡、搜捕抗日人员。
李萼,伪湖南省政府委员,1940-1945,在湖南日占区参与伪政权活动，协助日军推行治安强化，其活动范围涉及邵阳一带。
唐生明,伪湖南省保安司令部高级顾问,1943-1945,受日伪拉拢，在湖南沦陷区参与伪军事机构，为日军策反地方武装，影响波及邵阳。
彭松龄,伪湘中维持会联合会干事,1944-1945,在湘中地区组织伪维持会网络，为日军在邵阳、新化等地征调物资、拉夫。
王剪波,伪邵阳警察局局长,1944-1945,日军占领邵阳后出任伪警察局长，镇压抗日群众，稽查抗日分子。
何键,伪湖南和平建国军司令,1944-1945,在湖南沦陷区收编游杂武装，组织伪军配合日军作战，活动范围包括邵阳地区。
周佛海,伪国民政府财政部长兼伪湖南省长,1943-1945,作为汪伪政权核心人物，其伪湖南省政措施涉及邵阳，推行伪币、征粮支持日军。
叶蓬,伪武汉行营主任兼伪湖北省长,1940-1945,汪伪军事头目，其伪军活动曾延伸至湘北、湘中，与邵阳地区日伪势力有联络。
