name,title,activity_period,notable_deeds
李士群,汪伪特工总部（76号）主任、汪伪江苏省政府主席,1939-1943,在江苏南通、通州等地部署特工网络，镇压抗日活动，推行清乡运动，残害抗日军民。
汪精卫,汪伪国民政府主席兼行政院长,1940-1944,作为伪政权最高头目，其统治范围涵盖江苏南通、通州，支持清乡和日军占领政策。
陈公博,汪伪立法院长、上海市长（兼管江苏部分地区）,1940-1945,参与汪伪政权对江苏包括南通地区的行政控制，协助日军经济掠夺。
周佛海,汪伪行政院副院长、财政部长、警政部长,1940-1945,主导伪政权财政与特务系统，其势力延伸至南通、通州，参与清乡和物资统制。
丁默邨,汪伪社会部长、浙江省长（曾负责江苏特工）,1939-1945,在江苏南通地区组织特务活动，破坏地下抗日组织。
任援道,汪伪第一方面军总司令、江苏省长（1943-1945）,1940-1945,率伪军驻防江苏包括南通、通州，配合日军扫荡，镇压抗日游击队。
高冠吾,汪伪江苏省长（1940-1943）,1940-1943,在江苏推行清乡，南通、通州地区设立伪区乡政权，强征捐税。
蔡洪田,汪伪江苏省党部主任委员,1940-1945,在南通、通州发展伪党组织，策反地方人士，协助日军维持治安。
张北生,汪伪南通县知事（县长）,1941-1944,在南通县（含通州地区）实施保甲制度，强抓壮丁，配合清乡，迫害抗日家属。
顾宝珩,汪伪通州（南通城）维持会长,1938-1940,日军占领南通初期，组织维持会，为日军征粮派款，提供情报。
孙建言,伪南通特别区公署署长,1940-1943,管理南通城及通州地区伪行政，推行奴化教育，协助日军封锁抗日根据地。
陈福初,伪通州保安大队长,1941-1945,率伪保安队配合日军扫荡通州农村，杀害抗日干部，抢劫民财。
吴颂皋,汪伪江苏省警务处长,1941-1944,在南通、通州建立伪警察网络，搜捕抗日分子，执行日军命令。
沈尔乔,汪伪江苏省教育厅长,1940-1945,在南通、通州推行奴化教育，篡改历史教材，强迫学生参加反共活动。
潘达,伪南通县清乡主任,1943-1945,主持南通县清乡行动，设立封锁线，屠杀抗日军民，掠夺粮食。
黄季安,伪通州商会会长,1938-1945,为日军和伪政权筹集军费，控制通州商业，强迫商户捐献，资敌物资。
