name,title,activity_period,notable_deeds
成建基,伪利津县维持会会长、伪利津县县长,1938-1945,利津沦陷后出面组织伪维持会，后任伪县长，为日军征粮派款、拉夫修路，配合日伪对清河区抗日根据地进行扫荡。
刘佩忱,伪武定道道尹,1938-1945,任伪武定道道尹期间，管辖利津、滨县、沾化、蒲台等县，推行保甲连坐，强征民夫物资，配合日军对黄河三角洲地区进行治安强化运动。
张建堂,伪利津县警备队队长,1939-1945,率伪警备队配合日军驻利津部队下乡清剿，捕杀抗日干部和群众，抢掠粮食牲畜，在利津北部盐窝、陈庄一带活动频繁。
王砚农,伪利津县新民会会长,1940-1945,利用新民会进行奴化宣传，组织训练伪青年团、伪合作社，为日军搜集情报并推行配给制度，控制利津城乡经济。
李树棠,伪广饶县县长,1939-1945,广饶与利津相邻，其伪政权与利津伪政权协同行动，多次配合日军扫荡小清河以北地区，抓捕抗日人员，强征劳工。
赵子明,伪蒲台县维持会会长,1938-1942,蒲台县与利津隔黄河相望，其维持会为日军提供渡河船只和向导，协助日军进攻利津、滨县抗日武装。
陈瑞亭,伪滨县县长,1939-1945,滨县与利津同属武定道，其伪政权与利津伪县府联合行动，在黄河两岸进行清乡，捕杀抗日军民，掠夺物资。
孙振海,伪沾化县警备队队长,1940-1945,沾化与利津北部接壤，率伪军配合日军在利津、沾化沿海地区进行扫荡，封锁抗日根据地，残害百姓。
刘子明,伪利津县保安团团长,1941-1945,收编土匪武装组成伪保安团，盘踞利津城及周边据点，为日军守卫交通线，多次袭击八路军清河军区部队。
张凤山,伪利津县第一区区长,1940-1945,在利津城关及附近村庄推行保甲制度，强征壮丁和粮食，举报抗日家属，配合日军抓捕地下党员。
王金铭,伪武定道警务局局长,1938-1945,统管武定道各县伪警察，在利津设警察所，训练伪警察特务，破坏抗日地下组织，镇压群众抗日活动。
李青山,伪利津县合作社理事长,1941-1945,控制利津棉花、粮食等物资，为日军统制经济服务，低价强购农产品，配给日货，剥削当地农民。
