name,title,activity_period,notable_deeds
唐生明,伪湖南省政府委员、伪长沙绥靖公署副主任（后为军统潜伏人员）,1940-1945,受军统派遣打入汪伪政权，在湖南及周边地区活动，表面附逆，实际为重庆方面提供情报并策反伪军。
黄子琪,伪道县维持会会长,1944-1945,日军侵占道县期间，出面组织维持会，为日军征派粮秣、夫役，协助维持占领秩序。
何键,伪湖南省政府主席（后投靠汪伪）,1937-1945,原国民党湖南省主席，抗战后期与汪伪政权有联系，其旧部在湖南部分地区附逆。
周佛海,伪行政院副院长、伪财政部长、伪湖南省长（名义）,1940-1945,汪伪政权核心人物，曾兼任伪湖南省长，对湖南沦陷区伪政权有名义管辖权。
李树森,伪永州维持会副会长,1944-1945,日军侵占永州期间，协助组织维持会，为日军筹集物资、招募伪军。
张治中,伪零陵县维持会会长,1944-1945,在零陵（今永州零陵区）组织维持会，配合日军统治，征发民夫。
刘建绪,伪湘南绥靖军司令,1944-1945,在湘南地区收编土匪、散兵，组织伪军配合日军扫荡，活动范围包括永州、道县一带。
陈光中,伪湘南保安司令,1944-1945,在湘南沦陷区组织伪保安部队，协助日军维持治安，镇压抗日力量。
王劲修,伪湖南和平救国军总司令,1944-1945,在湖南沦陷区组建伪军，配合日军行动，活动范围覆盖湘南包括永州地区。
罗君强,伪安徽省长、伪上海市政府秘书长（湖南籍附逆者）,1940-1945,湖南人，汪伪政权高官，虽主要在华东活动，但对湖南沦陷区伪政权有影响。
